baseline,lambda_cost,eta_cost,gamma_cost,nuisance_mode,mean_actionable_utility_diff_qk_minus_baseline,ci95_low,ci95_high,prob_diff_gt_0,qk_better_ci95
MMD-RBF,0.0,0.0,0.1,total,-0.785518035653901,-1.444922205712491,0.02466727394021697,0.2,False
KS-max,0.0,0.0,0.1,total,-0.866544910321245,-1.6676454147224142,0.2587469361430072,0.16666666666666666,False
JSD,0.0,0.0,0.1,total,-1.2820634756536067,-1.9356282946164625,-0.39942018099647275,0.06666666666666667,False
QK-MMD PauliXZ,0.0,0.0,0.1,total,0.7484695520139452,-0.016242034025888204,1.7089782562922036,0.5333333333333333,False
Energy distance,0.0,0.25,0.0,total,-0.08151041666666667,-0.6455794270833334,0.5562695312499998,0.4,False
MMD-RBF,0.0,0.25,0.0,total,0.3171875,-0.33776692708333333,1.1278776041666665,0.4666666666666667,False
KS-max,0.0,0.25,0.0,total,0.6192708333333333,-0.21328776041666667,1.8022265624999978,0.43333333333333335,False
JSD,0.0,0.25,0.0,total,0.44166666666666665,-0.19115234374999998,1.2671875,0.6,False
QK-MMD PauliXZ,0.0,0.25,0.0,total,0.5684895833333333,-0.15729166666666666,1.4937890624999994,0.43333333333333335,False
Energy distance,0.0,0.25,0.01,total,-0.2472964445973436,-0.8117203315226613,0.38992339064369086,0.3,False
MMD-RBF,0.0,0.25,0.01,total,0.18941694643461,-0.46557131810906865,0.9990167334551359,0.43333333333333335,False
KS-max,0.0,0.25,0.01,total,0.45652259230120884,-0.37612013658794075,1.640143897333672,0.43333333333333335,False
JSD,0.0,0.25,0.01,total,0.27512698576797273,-0.35766762006313835,1.1011513380394728,0.5,False
QK-MMD PauliXZ,0.0,0.25,0.01,total,0.5798209135347281,-0.14687621627192787,1.5055518467583129,0.43333333333333335,False
Energy distance,0.0,0.25,0.05,total,-0.9104405563200514,-1.4756668971229714,-0.27037788654397726,0.23333333333333334,False
MMD-RBF,0.0,0.25,0.05,total,-0.3216652678269505,-0.9764955773063944,0.48734207309860095,0.2,False
KS-max,0.0,0.25,0.05,total,-0.1944703718272893,-1.0261185596218472,0.9848868568651645,0.16666666666666666,False
JSD,0.0,0.25,0.05,total,-0.3910317378268034,-1.0221422840663148,0.43572524151208886,0.3,False
QK-MMD PauliXZ,0.0,0.25,0.05,total,0.6251462343403063,-0.10235760204795696,1.5524945911549095,0.43333333333333335,False
Energy distance,0.0,0.25,0.1,total,-1.7393706959734359,-2.3078270032290407,-1.0974618313320295,0.13333333333333333,False
MMD-RBF,0.0,0.25,0.1,total,-0.960518035653901,-1.6154486848806844,-0.1518216920513274,0.16666666666666666,False
KS-max,0.0,0.25,0.1,total,-1.0082115769879116,-1.837687713111188,0.16979327098957203,0.16666666666666666,False
JSD,0.0,0.25,0.1,total,-1.2237301423202738,-1.8542699446926318,-0.39991522199829393,0.06666666666666667,False
QK-MMD PauliXZ,0.0,0.25,0.1,total,0.6818028853472785,-0.04683271683210229,1.6111908294338202,0.5,False
Energy distance,0.0,0.5,0.0,total,-0.17317708333333334,-0.7476627604166667,0.47396484374999986,0.3333333333333333,False
MMD-RBF,0.0,0.5,0.0,total,0.1421875,-0.52265625,0.9588736979166664,0.4666666666666667,False
KS-max,0.0,0.5,0.0,total,0.47760416666666666,-0.3966145833333333,1.7239713541666664,0.36666666666666664,False
JSD,0.0,0.5,0.0,total,0.5,-0.12865885416666664,1.27552734375,0.6,False
QK-MMD PauliXZ,0.0,0.5,0.0,total,0.5018229166666667,-0.20755859375,1.38802734375,0.5,False
Energy distance,0.0,0.5,0.01,total,-0.3389631112640103,-0.9136790386599353,0.3085732551744051,0.3,False
MMD-RBF,0.0,0.5,0.01,total,0.01441694643461,-0.6504930748322649,0.8300811626423732,0.43333333333333335,False
KS-max,0.0,0.5,0.01,total,0.3148559256345422,-0.5588972188412615,1.5596956692738633,0.36666666666666664,False
JSD,0.0,0.5,0.01,total,0.3334603191013061,-0.2952860812858697,1.109222748125555,0.5,False
QK-MMD PauliXZ,0.0,0.5,0.01,total,0.5131542468680614,-0.19645634548687735,1.399673069470017,0.5,False
Energy distance,0.0,0.5,0.05,total,-1.002107222986718,-1.5776243226112519,-0.3533552035428493,0.23333333333333334,False
MMD-RBF,0.0,0.5,0.05,total,-0.4966652678269505,-1.1603723558649945,0.3178951673429983,0.2,False
KS-max,0.0,0.5,0.05,total,-0.336137038493956,-1.20849736533299,0.9042961619786604,0.16666666666666666,False
JSD,0.0,0.5,0.05,total,-0.3326984044934701,-0.9604285845140741,0.4427450519336174,0.36666666666666664,False
QK-MMD PauliXZ,0.0,0.5,0.05,total,0.5584795676736394,-0.1541038222595428,1.4456599311431977,0.5,False
Energy distance,0.0,0.5,0.1,total,-1.8310373626401026,-2.4077293495268868,-1.1796831544437638,0.16666666666666666,False
MMD-RBF,0.0,0.5,0.1,total,-1.135518035653901,-1.7996573168678056,-0.3220162623732277,0.16666666666666666,False
KS-max,0.0,0.5,0.1,total,-1.1498782436545782,-2.0227610357200416,0.09220973345034872,0.13333333333333333,False
JSD,0.0,0.5,0.1,total,-1.1653968089869404,-1.7941551075277191,-0.3897451749944506,0.1,False
QK-MMD PauliXZ,0.0,0.5,0.1,total,0.6151362186806117,-0.0986398125653602,1.5045816650819128,0.5333333333333333,False
Energy distance,0.0,1.0,0.0,total,-0.35651041666666666,-0.9779231770833333,0.33985677083333315,0.3333333333333333,False
MMD-RBF,0.0,1.0,0.0,total,-0.2078125,-0.9263151041666666,0.6627734374999997,0.36666666666666664,False
KS-max,0.0,1.0,0.0,total,0.19427083333333334,-0.7989583333333333,1.573977864583333,0.3333333333333333,False
JSD,0.0,1.0,0.0,total,0.6166666666666667,-0.05106119791666665,1.3526432291666661,0.6666666666666666,False
QK-MMD PauliXZ,0.0,1.0,0.0,total,0.3684895833333333,-0.34297526041666665,1.2250195312499998,0.5,False
Energy distance,0.0,1.0,0.01,total,-0.5222964445973436,-1.144957017449317,0.174841834658263,0.26666666666666666,False
MMD-RBF,0.0,1.0,0.01,total,-0.33558305356539003,-1.053672914932158,0.534174951989547,0.3333333333333333,False
KS-max,0.0,1.0,0.01,total,0.031522592301208796,-0.9611311612894228,1.4107494601176882,0.3,False
JSD,0.0,1.0,0.01,total,0.4501269857679727,-0.21721271413311002,1.1854201156810023,0.5666666666666667,False
QK-MMD PauliXZ,0.0,1.0,0.01,total,0.379820913534728,-0.3319028332726019,1.2369382963688407,0.5,False
Energy distance,0.0,1.0,0.05,total,-1.1854405563200516,-1.810963832775073,-0.48587105510303386,0.23333333333333334,False
MMD-RBF,0.0,1.0,0.05,total,-0.8466652678269504,-1.562596536580347,0.021083391907663344,0.23333333333333334,False
KS-max,0.0,1.0,0.05,total,-0.6194703718272895,-1.612458340037105,0.7552445246056481,0.16666666666666666,False
JSD,0.0,1.0,0.05,total,-0.2160317378268034,-0.8823238383912688,0.520394819087829,0.4,False
QK-MMD PauliXZ,0.0,1.0,0.05,total,0.4251462343403061,-0.2865935402917723,1.2806427462072012,0.5,False
Energy distance,0.0,1.0,0.1,total,-2.0143706959734358,-2.641507228836902,-1.3147446692437712,0.13333333333333333,False
MMD-RBF,0.0,1.0,0.1,total,-1.4855180356539008,-2.200049114193738,-0.6174939157715225,0.13333333333333333,False
KS-max,0.0,1.0,0.1,total,-1.4332115769879117,-2.4238720245081553,-0.05705830129536771,0.13333333333333333,False
JSD,0.0,1.0,0.1,total,-1.0487301423202737,-1.7125262073316263,-0.31024252509878797,0.2,False
QK-MMD PauliXZ,0.0,1.0,0.1,total,0.4818028853472786,-0.23159812094655374,1.3373270326014208,0.5333333333333333,False
Energy distance,0.0,2.0,0.0,total,-0.7231770833333333,-1.5807291666666667,0.1823307291666661,0.3,False
MMD-RBF,0.0,2.0,0.0,total,-0.9078125,-1.8276041666666667,0.11958984374999915,0.3,False
KS-max,0.0,2.0,0.0,total,-0.3723958333333333,-1.67734375,1.30130859375,0.3,False
JSD,0.0,2.0,0.0,total,0.85,-0.024492187499999988,1.7148828124999995,0.7,False
QK-MMD PauliXZ,0.0,2.0,0.0,total,0.10182291666666667,-0.7638606770833333,1.02162109375,0.5,False
Energy distance,0.0,2.0,0.01,total,-0.8889631112640103,-1.7455518942419648,0.016959469509585406,0.26666666666666666,False
MMD-RBF,0.0,2.0,0.01,total,-1.03558305356539,-1.9541713164224825,-0.00876209352001167,0.26666666666666666,False
KS-max,0.0,2.0,0.01,total,-0.535144074365458,-1.8401582245139168,1.1374140551166432,0.3,False
JSD,0.0,2.0,0.01,total,0.6834603191013057,-0.1914351802451176,1.5475050000785529,0.6,False
QK-MMD PauliXZ,0.0,2.0,0.01,total,0.11315424686806118,-0.7521224506312738,1.0328727512671427,0.5,False
Energy distance,0.0,2.0,0.05,total,-1.5521072229867179,-2.40876901171777,-0.6480201048654082,0.23333333333333334,False
MMD-RBF,0.0,2.0,0.05,total,-1.54666526782695,-2.4645199320420117,-0.523804530575712,0.2,False
KS-max,0.0,2.0,0.05,total,-1.1861370384939562,-2.490389253898907,0.4821827300938019,0.16666666666666666,False
JSD,0.0,2.0,0.05,total,0.01730159550653004,-0.855790723149495,0.8817502228702746,0.5,False
QK-MMD PauliXZ,0.0,2.0,0.05,total,0.1584795676736395,-0.7068555513501147,1.0768547307227174,0.5,False
Energy distance,0.0,2.0,0.1,total,-2.3810373626401025,-3.238711234684296,-1.4779589573797034,0.13333333333333333,False
MMD-RBF,0.0,2.0,0.1,total,-2.185518035653901,-3.1017090421126343,-1.1639276253608988,0.16666666666666666,False
KS-max,0.0,2.0,0.1,total,-1.9998782436545781,-3.30089243084691,-0.333896514899505,0.13333333333333333,False
JSD,0.0,2.0,0.1,total,-0.8153968089869401,-1.6862441293536201,0.049340752589118325,0.36666666666666664,False
QK-MMD PauliXZ,0.0,2.0,0.1,total,0.21513621868061206,-0.6507929116922702,1.1324163237723015,0.5,False
Energy distance,0.1,0.0,0.0,total,0.22015624999999944,-0.3644348958333337,0.8720911458333327,0.4666666666666667,False
MMD-RBF,0.1,0.0,0.0,total,0.5855208333333332,-0.07109765625000032,1.389700520833333,0.5,False
KS-max,0.1,0.0,0.0,total,0.7909375,-0.0029218750000001847,1.9085481770833332,0.5333333333333333,False
JSD,0.1,0.0,0.0,total,0.4266666666666666,-0.22792057291666679,1.31463671875,0.6,False
QK-MMD PauliXZ,0.1,0.0,0.0,total,0.6384895833333334,-0.11913411458333328,1.6035091145833333,0.5,False
Energy distance,0.1,0.0,0.01,total,0.05437022206932249,-0.5302926744606756,0.7077576324839595,0.4,False
MMD-RBF,0.1,0.0,0.01,total,0.457750279767943,-0.19812787282153227,1.2607019025943171,0.4666666666666667,False
KS-max,0.1,0.0,0.01,total,0.6281892589678753,-0.16523701248862582,1.744834519983382,0.4666666666666667,False
JSD,0.1,0.0,0.01,total,0.26012698576797266,-0.39528224983681376,1.1486202902330793,0.5666666666666667,False
QK-MMD PauliXZ,0.1,0.0,0.01,total,0.6498209135347282,-0.10797311229550187,1.6152245551440083,0.5,False
Energy distance,0.1,0.0,0.05,total,-0.6087738896533854,-1.1952904341508408,0.04627716989357266,0.3333333333333333,False
MMD-RBF,0.1,0.0,0.05,total,-0.05333193449361747,-0.707663843657691,0.7501200331346476,0.36666666666666664,False
KS-max,0.1,0.0,0.05,total,-0.02280370516062282,-0.8148828740768613,1.0931678677955974,0.26666666666666666,False
JSD,0.1,0.0,0.05,total,-0.40603173782680363,-1.0616360487817778,0.48296169898430985,0.2,False
QK-MMD PauliXZ,0.1,0.0,0.05,total,0.6951462343403062,-0.06323366920479244,1.6615689470336459,0.5333333333333333,False
Energy distance,0.1,0.0,0.1,total,-1.43770402930677,-2.029152809509543,-0.7797457655925932,0.13333333333333333,False
MMD-RBF,0.1,0.0,0.1,total,-0.692184702320568,-1.3456815531628576,0.11028942659335209,0.2,False
KS-max,0.1,0.0,0.1,total,-0.8365449103212454,-1.6271972551428289,0.27591498089183913,0.16666666666666666,False
JSD,0.1,0.0,0.1,total,-1.238730142320274,-1.8933382582811757,-0.3479181893491677,0.06666666666666667,False
QK-MMD PauliXZ,0.1,0.0,0.1,total,0.7518028853472785,-0.010104675552652789,1.7181115883003508,0.5333333333333333,False
Energy distance,0.1,0.25,0.0,total,0.12848958333333277,-0.44589192708333386,0.7704609374999987,0.43333333333333335,False
MMD-RBF,0.1,0.25,0.0,total,0.4105208333333331,-0.23725000000000024,1.2129283854166655,0.5,False
KS-max,0.1,0.25,0.0,total,0.6492708333333332,-0.17026562500000017,1.8171927083333324,0.4666666666666667,False
JSD,0.1,0.25,0.0,total,0.48499999999999993,-0.14975911458333344,1.314170572916667,0.6,False
QK-MMD PauliXZ,0.1,0.25,0.0,total,0.5718229166666667,-0.15172395833333338,1.49437890625,0.43333333333333335,False
Energy distance,0.1,0.25,0.01,total,-0.03729644459734418,-0.6124036126751836,0.6052537689346172,0.4,False
MMD-RBF,0.1,0.25,0.01,total,0.28275027976794304,-0.3648630133234074,1.0851047311492292,0.43333333333333335,False
KS-max,0.1,0.25,0.01,total,0.48652259230120876,-0.3329498787463382,1.6532059480841104,0.43333333333333335,False
JSD,0.1,0.25,0.01,total,0.318460319101306,-0.3164764794940816,1.147710294763678,0.5666666666666667,False
QK-MMD PauliXZ,0.1,0.25,0.01,total,0.5831542468680614,-0.14038881772417405,1.5054953706343723,0.43333333333333335,False
Energy distance,0.1,0.25,0.05,total,-0.7004405563200521,-1.2784214616921872,-0.05719292130897094,0.26666666666666666,False
MMD-RBF,0.1,0.25,0.05,total,-0.22833193449361747,-0.8766071705246725,0.5754500756292635,0.3333333333333333,False
KS-max,0.1,0.25,0.05,total,-0.1644703718272895,-0.9825557149810921,0.9980949497814957,0.2,False
JSD,0.1,0.25,0.05,total,-0.3476984044934702,-0.9841062207331854,0.4800875754536048,0.3,False
QK-MMD PauliXZ,0.1,0.25,0.05,total,0.6284795676736395,-0.09601158639310843,1.5510797268692444,0.43333333333333335,False
Energy distance,0.1,0.25,0.1,total,-1.5293706959734368,-2.1095986675202254,-0.8817050938987437,0.13333333333333333,False
MMD-RBF,0.1,0.25,0.1,total,-0.867184702320568,-1.5154431049782635,-0.06394607173131553,0.16666666666666666,False
KS-max,0.1,0.25,0.1,total,-0.9782115769879121,-1.7933365618435786,0.18153822186092436,0.16666666666666666,False
JSD,0.1,0.25,0.1,total,-1.1803968089869405,-1.8150324157702369,-0.35382449576595376,0.06666666666666667,False
QK-MMD PauliXZ,0.1,0.25,0.1,total,0.6851362186806118,-0.04276504386914909,1.610831415459465,0.4666666666666667,False
Energy distance,0.1,0.5,0.0,total,0.0368229166666661,-0.5409947916666673,0.6879244791666662,0.4,False
MMD-RBF,0.1,0.5,0.0,total,0.23552083333333307,-0.41891796875000015,1.0429882812499993,0.4666666666666667,False
KS-max,0.1,0.5,0.0,total,0.5076041666666665,-0.3542825520833335,1.7397018229166663,0.4,False
JSD,0.1,0.5,0.0,total,0.5433333333333332,-0.0833880208333335,1.319450520833333,0.6,False
QK-MMD PauliXZ,0.1,0.5,0.0,total,0.50515625,-0.20490104166666667,1.3930468749999998,0.43333333333333335,False
Energy distance,0.1,0.5,0.01,total,-0.12896311126401078,-0.7074223342989877,0.5225154123205115,0.3333333333333333,False
MMD-RBF,0.1,0.5,0.01,total,0.10775027976794303,-0.5464136372496639,0.9148658788204997,0.43333333333333335,False
KS-max,0.1,0.5,0.01,total,0.3448559256345421,-0.5165355598470845,1.5762414834353184,0.36666666666666664,False
JSD,0.1,0.5,0.01,total,0.3767936524346393,-0.250470762999286,1.1527342226587085,0.5666666666666667,False
QK-MMD PauliXZ,0.1,0.5,0.01,total,0.5164875802013947,-0.1945149304332871,1.4053265371684294,0.4666666666666667,False
Energy distance,0.1,0.5,0.05,total,-0.7921072229867185,-1.3731250375390716,-0.13912075473862506,0.23333333333333334,False
MMD-RBF,0.1,0.5,0.05,total,-0.40333193449361743,-1.0569876743210487,0.4064249121721895,0.23333333333333334,False
KS-max,0.1,0.5,0.05,total,-0.3061370384939562,-1.16720442847131,0.9232649223615188,0.23333333333333334,False
JSD,0.1,0.5,0.05,total,-0.2893650711601369,-0.917438996928919,0.48767029198613626,0.36666666666666664,False
QK-MMD PauliXZ,0.1,0.5,0.05,total,0.5618129010069727,-0.14944740008370233,1.450641210751656,0.4666666666666667,False
Energy distance,0.1,0.5,0.1,total,-1.6210373626401033,-2.2031522366006695,-0.9681394109409891,0.16666666666666666,False
MMD-RBF,0.1,0.5,0.1,total,-1.0421847023205681,-1.6980941894731756,-0.2362816198345986,0.16666666666666666,False
KS-max,0.1,0.5,0.1,total,-1.1198782436545789,-1.9792600661767934,0.10548706056860427,0.13333333333333333,False
JSD,0.1,0.5,0.1,total,-1.1220634756536072,-1.7496433881531706,-0.341732157056987,0.13333333333333333,False
QK-MMD PauliXZ,0.1,0.5,0.1,total,0.6184695520139454,-0.09301977692941271,1.5093320744691199,0.5,False
Energy distance,0.1,1.0,0.0,total,-0.14651041666666723,-0.7779739583333342,0.554799479166666,0.36666666666666664,False
MMD-RBF,0.1,1.0,0.0,total,-0.11447916666666694,-0.8179466145833336,0.7499505208333332,0.4,False
KS-max,0.1,1.0,0.0,total,0.22427083333333314,-0.759026041666667,1.5813046874999979,0.36666666666666664,False
JSD,0.1,1.0,0.0,total,0.6600000000000001,-0.007662760416666805,1.3995585937499995,0.6666666666666666,False
QK-MMD PauliXZ,0.1,1.0,0.0,total,0.37182291666666667,-0.33408072916666653,1.2259453125,0.5,False
Energy distance,0.1,1.0,0.01,total,-0.3122964445973441,-0.9443288652462579,0.38896304558408895,0.3333333333333333,False
MMD-RBF,0.1,1.0,0.01,total,-0.242249720232057,-0.9464392577432071,0.6216934548369999,0.3333333333333333,False
KS-max,0.1,1.0,0.01,total,0.06152259230120866,-0.9218233820883736,1.418189751274825,0.3,False
JSD,0.1,1.0,0.01,total,0.49346031910130594,-0.1743746546504157,1.2324407943594402,0.6333333333333333,False
QK-MMD PauliXZ,0.1,1.0,0.01,total,0.3831542468680613,-0.3223113395635549,1.237383362422716,0.5,False
Energy distance,0.1,1.0,0.05,total,-0.9754405563200519,-1.6079409190230565,-0.27230486345354854,0.23333333333333334,False
MMD-RBF,0.1,1.0,0.05,total,-0.7533319344936175,-1.4573930249619444,0.10843961570902763,0.26666666666666666,False
KS-max,0.1,1.0,0.05,total,-0.5894703718272896,-1.5719363469214973,0.7657245788778317,0.2,False
JSD,0.1,1.0,0.05,total,-0.17269840449347018,-0.839653296378558,0.5666691079479496,0.4,False
QK-MMD PauliXZ,0.1,1.0,0.05,total,0.42847956767363937,-0.2783930362286675,1.2849388438164895,0.5,False
Energy distance,0.1,1.0,0.1,total,-1.8043706959734367,-2.4359822609345145,-1.097828489260458,0.13333333333333333,False
MMD-RBF,0.1,1.0,0.1,total,-1.392184702320568,-2.0928417304207305,-0.5334662912822001,0.13333333333333333,False
KS-max,0.1,1.0,0.1,total,-1.403211576987912,-2.3839071210885607,-0.048537129033260254,0.13333333333333333,False
JSD,0.1,1.0,0.1,total,-1.0053968089869405,-1.671123467564409,-0.2647348416295627,0.2,False
QK-MMD PauliXZ,0.1,1.0,0.1,total,0.48513621868061185,-0.22405192277376784,1.342940628946777,0.5333333333333333,False
Energy distance,0.1,2.0,0.0,total,-0.513177083333334,-1.376361979166667,0.39252864583333236,0.3333333333333333,False
MMD-RBF,0.1,2.0,0.0,total,-0.8144791666666669,-1.7242265625000002,0.20704557291666625,0.3,False
KS-max,0.1,2.0,0.0,total,-0.3423958333333335,-1.6471914062500002,1.3227343749999994,0.3333333333333333,False
JSD,0.1,2.0,0.0,total,0.8933333333333334,0.017432291666666624,1.7570507812499996,0.7,True
QK-MMD PauliXZ,0.1,2.0,0.0,total,0.10515624999999999,-0.7566158854166668,1.0162539062499998,0.5,False
Energy distance,0.1,2.0,0.01,total,-0.678963111264011,-1.5421851903017187,0.22713875006549383,0.3,False
MMD-RBF,0.1,2.0,0.01,total,-0.9422497202320572,-1.8503384379513292,0.07833633447613644,0.26666666666666666,False
KS-max,0.1,2.0,0.01,total,-0.5051440743654582,-1.8090593240002637,1.1595231129063563,0.3,False
JSD,0.1,2.0,0.01,total,0.7267936524346391,-0.14866546984444046,1.5899386000334268,0.6666666666666666,False
QK-MMD PauliXZ,0.1,2.0,0.01,total,0.1164875802013945,-0.7451300567823403,1.02703054163888,0.5,False
Energy distance,0.1,2.0,0.05,total,-1.3421072229867186,-2.2053768732944787,-0.43600462074634616,0.23333333333333334,False
MMD-RBF,0.1,2.0,0.05,total,-1.4533319344936175,-2.3581636000565442,-0.4371658432257785,0.23333333333333334,False
KS-max,0.1,2.0,0.05,total,-1.156137038493956,-2.4563584287286404,0.5059645457405851,0.2,False
JSD,0.1,2.0,0.05,total,0.060634928839863246,-0.8149973701779528,0.9246706395714088,0.5,False
QK-MMD PauliXZ,0.1,2.0,0.05,total,0.16181290100697282,-0.6992988005618775,1.0721185629350898,0.5,False
Energy distance,0.1,2.0,0.1,total,-2.1710373626401034,-3.0322821717666137,-1.2669542036694093,0.13333333333333333,False
MMD-RBF,0.1,2.0,0.1,total,-2.092184702320568,-2.9965656711280073,-1.0775549622955154,0.16666666666666666,False
KS-max,0.1,2.0,0.1,total,-1.969878243654578,-3.2655019594739523,-0.311498007829544,0.13333333333333333,False
JSD,0.1,2.0,0.1,total,-0.772063475653607,-1.6454098064458718,0.09187823421362527,0.36666666666666664,False
QK-MMD PauliXZ,0.1,2.0,0.1,total,0.21846955201394527,-0.6440728236787836,1.1292285041034529,0.5,False
Energy distance,0.25,0.0,0.0,total,0.53515625,-0.07188151041666666,1.20130859375,0.5333333333333333,False
MMD-RBF,0.25,0.0,0.0,total,0.7255208333333333,0.0762760416666667,1.5273502604166667,0.5333333333333333,True
KS-max,0.25,0.0,0.0,total,0.8359375,0.056503906250000006,1.934388020833333,0.6333333333333333,True
JSD,0.25,0.0,0.0,total,0.49166666666666664,-0.16380859374999998,1.3877669270833333,0.6333333333333333,False
QK-MMD PauliXZ,0.25,0.0,0.0,total,0.6434895833333333,-0.11380859374999999,1.6122395833333334,0.5,False
Energy distance,0.25,0.0,0.01,total,0.3693702220693231,-0.23816028847090878,1.0357297394724783,0.5,False
MMD-RBF,0.25,0.0,0.01,total,0.5977502797679434,-0.05115413519825271,1.3995246101239376,0.5,False
KS-max,0.25,0.0,0.01,total,0.6731892589678754,-0.10577176813211399,1.7705673352283304,0.5,False
JSD,0.25,0.0,0.01,total,0.3251269857679728,-0.3304894841404339,1.2208237592102817,0.5666666666666667,False
QK-MMD PauliXZ,0.25,0.0,0.01,total,0.654820913534728,-0.10329933067046011,1.6237060305039006,0.5,False
Energy distance,0.25,0.0,0.05,total,-0.29377388965338475,-0.9032675486623386,0.3728078082063049,0.3333333333333333,False
MMD-RBF,0.25,0.0,0.05,total,0.0866680655063828,-0.5623647298410018,0.8875545086729639,0.43333333333333335,False
KS-max,0.25,0.0,0.05,total,0.02219629483937737,-0.7543913734211191,1.1182067466958485,0.26666666666666666,False
JSD,0.25,0.0,0.05,total,-0.3410317378268034,-0.9967531362341202,0.5532748491474482,0.2,False
QK-MMD PauliXZ,0.25,0.0,0.05,total,0.7001462343403062,-0.05995929285266425,1.669472662453971,0.5333333333333333,False
Energy distance,0.25,0.0,0.1,total,-1.1227040293067694,-1.7346412918406617,-0.45783014011668305,0.16666666666666666,False
MMD-RBF,0.25,0.0,0.1,total,-0.5521847023205678,-1.2023907373299005,0.2459488610959283,0.26666666666666666,False
KS-max,0.25,0.0,0.1,total,-0.791544910321245,-1.5659061840246817,0.3047932117170026,0.16666666666666666,False
JSD,0.25,0.0,0.1,total,-1.1737301423202737,-1.829496640046515,-0.27972291843714475,0.06666666666666667,False
QK-MMD PauliXZ,0.25,0.0,0.1,total,0.7568028853472785,-0.005656265429337487,1.7266492762902532,0.5333333333333333,False
Energy distance,0.25,0.25,0.0,total,0.4434895833333333,-0.14792317708333333,1.096875,0.5,False
MMD-RBF,0.25,0.25,0.0,total,0.5505208333333333,-0.08906901041666666,1.3471549479166665,0.5666666666666667,False
KS-max,0.25,0.25,0.0,total,0.6942708333333333,-0.10782552083333333,1.8492578124999994,0.5333333333333333,False
JSD,0.25,0.25,0.0,total,0.55,-0.09270833333333334,1.388294270833333,0.6,False
QK-MMD PauliXZ,0.25,0.25,0.0,total,0.5768229166666666,-0.14922526041666667,1.4948111979166665,0.43333333333333335,False
Energy distance,0.25,0.25,0.01,total,0.2777035554026564,-0.3142706786358175,0.931328845072878,0.5,False
MMD-RBF,0.25,0.25,0.01,total,0.4227502797679434,-0.21717782340517328,1.219875332125118,0.5,False
KS-max,0.25,0.25,0.01,total,0.5315225923012088,-0.270617877244924,1.6858923996200441,0.4666666666666667,False
JSD,0.25,0.25,0.01,total,0.38346031910130607,-0.25926678693291777,1.220862004010354,0.5666666666666667,False
QK-MMD PauliXZ,0.25,0.25,0.01,total,0.5881542468680614,-0.13857928880373346,1.5067841757210614,0.43333333333333335,False
Energy distance,0.25,0.25,0.05,total,-0.38544055632005136,-0.9807092114831905,0.2688107609374319,0.3,False
MMD-RBF,0.25,0.25,0.05,total,-0.08833193449361719,-0.7303288968978937,0.7078035225360698,0.3333333333333333,False
KS-max,0.25,0.25,0.05,total,-0.1194703718272893,-0.9210580400877858,1.033564180895695,0.2,False
JSD,0.25,0.25,0.05,total,-0.2826984044934701,-0.9237738386104902,0.5547828724853167,0.3333333333333333,False
QK-MMD PauliXZ,0.25,0.25,0.05,total,0.6334795676736396,-0.09503434933481934,1.554589576572776,0.43333333333333335,False
Energy distance,0.25,0.25,0.1,total,-1.214370695973436,-1.8137127073367205,-0.5557814771282721,0.2,False
MMD-RBF,0.25,0.25,0.1,total,-0.7271847023205676,-1.3687860437819908,0.0666173110214097,0.2,False
