method,method_label,n_seeds,actionable_utility_mean,lambda_cost,eta_cost,gamma_cost,nuisance_mode
mmd_rbf,MMD-RBF,30,9.80112607316502,0.0,2.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.09598123766443,0.0,2.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,8.25446080533807,0.0,2.0,0.05,total
energy_distance,Energy distance,30,9.800636056649576,0.0,2.0,0.1,total
jsd,JSD,30,8.234995502996414,0.0,2.0,0.1,total
ks_max,KS-max,30,9.419476937664053,0.0,2.0,0.1,total
mmd_rbf,MMD-RBF,30,9.605116729663374,0.0,2.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.204462475328862,0.0,2.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,7.419598694009474,0.0,2.0,0.1,total
energy_distance,Energy distance,30,11.3525,0.1,0.0,0.0,total
jsd,JSD,30,11.145989583333334,0.1,0.0,0.0,total
ks_max,KS-max,30,10.78171875,0.1,0.0,0.0,total
mmd_rbf,MMD-RBF,30,10.987135416666666,0.1,0.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,10.934166666666666,0.1,0.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,11.57265625,0.1,0.0,0.0,total
energy_distance,Energy distance,30,11.351313605664958,0.1,0.0,0.01,total
jsd,JSD,30,11.145556841966307,0.1,0.0,0.01,total
ks_max,KS-max,30,10.777494568766404,0.1,0.0,0.01,total
mmd_rbf,MMD-RBF,30,10.947933547966336,0.1,0.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,10.755862914199552,0.1,0.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,11.405683827734281,0.1,0.0,0.01,total
energy_distance,Energy distance,30,11.346568028324787,0.1,0.0,0.05,total
jsd,JSD,30,11.143825876498205,0.1,0.0,0.05,total
ks_max,KS-max,30,10.760597843832025,0.1,0.0,0.05,total
mmd_rbf,MMD-RBF,30,10.791126073165021,0.1,0.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,10.042647904331096,0.1,0.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,10.737794138671402,0.1,0.0,0.05,total
energy_distance,Energy distance,30,11.340636056649576,0.1,0.0,0.1,total
jsd,JSD,30,11.14166216966308,0.1,0.0,0.1,total
ks_max,KS-max,30,10.739476937664051,0.1,0.0,0.1,total
mmd_rbf,MMD-RBF,30,10.595116729663374,0.1,0.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.15112914199553,0.1,0.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,9.902932027342807,0.1,0.0,0.1,total
energy_distance,Energy distance,30,11.094166666666666,0.1,0.25,0.0,total
jsd,JSD,30,10.737656249999999,0.1,0.25,0.0,total
ks_max,KS-max,30,10.573385416666666,0.1,0.25,0.0,total
mmd_rbf,MMD-RBF,30,10.812135416666667,0.1,0.25,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,10.650833333333333,0.1,0.25,0.0,total
