method,method_label,n_seeds,actionable_utility_mean,lambda_cost,eta_cost,gamma_cost,nuisance_mode
ks_max,KS-max,30,8.552810270997385,0.25,2.0,0.1,total
mmd_rbf,MMD-RBF,30,8.580116729663375,0.25,2.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,6.404462475328861,0.25,2.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,6.627932027342807,0.25,2.0,0.1,total
energy_distance,Energy distance,30,9.245833333333334,0.5,0.0,0.0,total
jsd,JSD,30,9.705989583333333,0.5,0.0,0.0,total
ks_max,KS-max,30,9.395052083333333,0.5,0.0,0.0,total
mmd_rbf,MMD-RBF,30,9.347135416666667,0.5,0.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.654166666666667,0.5,0.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,10.305989583333334,0.5,0.0,0.0,total
energy_distance,Energy distance,30,9.244646938998292,0.5,0.0,0.01,total
jsd,JSD,30,9.705556841966308,0.5,0.0,0.01,total
ks_max,KS-max,30,9.390827902099739,0.5,0.0,0.01,total
mmd_rbf,MMD-RBF,30,9.307933547966337,0.5,0.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.475862914199553,0.5,0.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,10.139017161067613,0.5,0.0,0.01,total
energy_distance,Energy distance,30,9.239901361658122,0.5,0.0,0.05,total
jsd,JSD,30,9.703825876498206,0.5,0.0,0.05,total
ks_max,KS-max,30,9.373931177165359,0.5,0.0,0.05,total
mmd_rbf,MMD-RBF,30,9.15112607316502,0.5,0.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.762647904331097,0.5,0.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,9.471127472004737,0.5,0.0,0.05,total
energy_distance,Energy distance,30,9.23396938998291,0.5,0.0,0.1,total
jsd,JSD,30,9.70166216966308,0.5,0.0,0.1,total
ks_max,KS-max,30,9.352810270997386,0.5,0.0,0.1,total
mmd_rbf,MMD-RBF,30,8.955116729663375,0.5,0.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.871129141995528,0.5,0.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,8.63626536067614,0.5,0.0,0.1,total
energy_distance,Energy distance,30,8.9875,0.5,0.25,0.0,total
jsd,JSD,30,9.29765625,0.5,0.25,0.0,total
ks_max,KS-max,30,9.18671875,0.5,0.25,0.0,total
mmd_rbf,MMD-RBF,30,9.172135416666666,0.5,0.25,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.370833333333334,0.5,0.25,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,9.955989583333333,0.5,0.25,0.0,total
energy_distance,Energy distance,30,8.986313605664957,0.5,0.25,0.01,total
jsd,JSD,30,9.297223508632975,0.5,0.25,0.01,total
ks_max,KS-max,30,9.182494568766405,0.5,0.25,0.01,total
mmd_rbf,MMD-RBF,30,9.132933547966337,0.5,0.25,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.19252958086622,0.5,0.25,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,9.789017161067614,0.5,0.25,0.01,total
energy_distance,Energy distance,30,8.981568028324789,0.5,0.25,0.05,total
jsd,JSD,30,9.295492543164873,0.5,0.25,0.05,total
ks_max,KS-max,30,9.165597843832025,0.5,0.25,0.05,total
mmd_rbf,MMD-RBF,30,8.976126073165021,0.5,0.25,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.479314570997763,0.5,0.25,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,9.121127472004737,0.5,0.25,0.05,total
energy_distance,Energy distance,30,8.975636056649575,0.5,0.25,0.1,total
jsd,JSD,30,9.293328836329747,0.5,0.25,0.1,total
ks_max,KS-max,30,9.144476937664052,0.5,0.25,0.1,total
mmd_rbf,MMD-RBF,30,8.780116729663375,0.5,0.25,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.587795808662195,0.5,0.25,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,8.28626536067614,0.5,0.25,0.1,total
energy_distance,Energy distance,30,8.729166666666666,0.5,0.5,0.0,total
jsd,JSD,30,8.889322916666666,0.5,0.5,0.0,total
ks_max,KS-max,30,8.978385416666667,0.5,0.5,0.0,total
mmd_rbf,MMD-RBF,30,8.997135416666667,0.5,0.5,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.0875,0.5,0.5,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,9.605989583333333,0.5,0.5,0.0,total
energy_distance,Energy distance,30,8.727980272331624,0.5,0.5,0.01,total
jsd,JSD,30,8.888890175299641,0.5,0.5,0.01,total
ks_max,KS-max,30,8.97416123543307,0.5,0.5,0.01,total
mmd_rbf,MMD-RBF,30,8.957933547966338,0.5,0.5,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.909196247532886,0.5,0.5,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,9.439017161067614,0.5,0.5,0.01,total
energy_distance,Energy distance,30,8.723234694991454,0.5,0.5,0.05,total
jsd,JSD,30,8.88715920983154,0.5,0.5,0.05,total
ks_max,KS-max,30,8.957264510498693,0.5,0.5,0.05,total
mmd_rbf,MMD-RBF,30,8.80112607316502,0.5,0.5,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.19598123766443,0.5,0.5,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,8.771127472004737,0.5,0.5,0.05,total
energy_distance,Energy distance,30,8.717302723316243,0.5,0.5,0.1,total
jsd,JSD,30,8.884995502996414,0.5,0.5,0.1,total
ks_max,KS-max,30,8.936143604330718,0.5,0.5,0.1,total
mmd_rbf,MMD-RBF,30,8.605116729663374,0.5,0.5,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.304462475328862,0.5,0.5,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,7.93626536067614,0.5,0.5,0.1,total
energy_distance,Energy distance,30,8.2125,0.5,1.0,0.0,total
jsd,JSD,30,8.07265625,0.5,1.0,0.0,total
ks_max,KS-max,30,8.56171875,0.5,1.0,0.0,total
mmd_rbf,MMD-RBF,30,8.647135416666666,0.5,1.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.520833333333334,0.5,1.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,8.905989583333334,0.5,1.0,0.0,total
energy_distance,Energy distance,30,8.211313605664959,0.5,1.0,0.01,total
jsd,JSD,30,8.072223508632975,0.5,1.0,0.01,total
ks_max,KS-max,30,8.557494568766405,0.5,1.0,0.01,total
mmd_rbf,MMD-RBF,30,8.607933547966336,0.5,1.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.34252958086622,0.5,1.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,8.739017161067613,0.5,1.0,0.01,total
energy_distance,Energy distance,30,8.206568028324789,0.5,1.0,0.05,total
jsd,JSD,30,8.070492543164873,0.5,1.0,0.05,total
ks_max,KS-max,30,8.540597843832025,0.5,1.0,0.05,total
mmd_rbf,MMD-RBF,30,8.451126073165021,0.5,1.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.629314570997764,0.5,1.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,8.071127472004736,0.5,1.0,0.05,total
energy_distance,Energy distance,30,8.200636056649577,0.5,1.0,0.1,total
jsd,JSD,30,8.068328836329748,0.5,1.0,0.1,total
ks_max,KS-max,30,8.519476937664052,0.5,1.0,0.1,total
mmd_rbf,MMD-RBF,30,8.255116729663374,0.5,1.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,6.737795808662195,0.5,1.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,7.23626536067614,0.5,1.0,0.1,total
energy_distance,Energy distance,30,7.179166666666666,0.5,2.0,0.0,total
jsd,JSD,30,6.439322916666667,0.5,2.0,0.0,total
ks_max,KS-max,30,7.728385416666667,0.5,2.0,0.0,total
mmd_rbf,MMD-RBF,30,7.947135416666667,0.5,2.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.3875,0.5,2.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,7.505989583333333,0.5,2.0,0.0,total
energy_distance,Energy distance,30,7.177980272331625,0.5,2.0,0.01,total
jsd,JSD,30,6.438890175299642,0.5,2.0,0.01,total
ks_max,KS-max,30,7.724161235433072,0.5,2.0,0.01,total
mmd_rbf,MMD-RBF,30,7.907933547966337,0.5,2.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.209196247532886,0.5,2.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,7.3390171610676145,0.5,2.0,0.01,total
energy_distance,Energy distance,30,7.1732346949914545,0.5,2.0,0.05,total
jsd,JSD,30,6.43715920983154,0.5,2.0,0.05,total
ks_max,KS-max,30,7.7072645104986925,0.5,2.0,0.05,total
mmd_rbf,MMD-RBF,30,7.751126073165021,0.5,2.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,6.49598123766443,0.5,2.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,6.671127472004737,0.5,2.0,0.05,total
energy_distance,Energy distance,30,7.167302723316243,0.5,2.0,0.1,total
jsd,JSD,30,6.434995502996414,0.5,2.0,0.1,total
ks_max,KS-max,30,7.686143604330719,0.5,2.0,0.1,total
mmd_rbf,MMD-RBF,30,7.555116729663374,0.5,2.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,5.604462475328861,0.5,2.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,5.83626536067614,0.5,2.0,0.1,total
energy_distance,Energy distance,30,6.6125,1.0,0.0,0.0,total
jsd,JSD,30,7.905989583333334,1.0,0.0,0.0,total
ks_max,KS-max,30,7.66171875,1.0,0.0,0.0,total
mmd_rbf,MMD-RBF,30,7.297135416666666,1.0,0.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.054166666666667,1.0,0.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,8.72265625,1.0,0.0,0.0,total
energy_distance,Energy distance,30,6.611313605664958,1.0,0.0,0.01,total
jsd,JSD,30,7.905556841966307,1.0,0.0,0.01,total
ks_max,KS-max,30,7.657494568766405,1.0,0.0,0.01,total
mmd_rbf,MMD-RBF,30,7.257933547966337,1.0,0.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.875862914199553,1.0,0.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,8.55568382773428,1.0,0.0,0.01,total
energy_distance,Energy distance,30,6.606568028324788,1.0,0.0,0.05,total
jsd,JSD,30,7.903825876498207,1.0,0.0,0.05,total
ks_max,KS-max,30,7.640597843832026,1.0,0.0,0.05,total
mmd_rbf,MMD-RBF,30,7.1011260731650205,1.0,0.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.162647904331097,1.0,0.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,7.887794138671404,1.0,0.0,0.05,total
energy_distance,Energy distance,30,6.600636056649576,1.0,0.0,0.1,total
jsd,JSD,30,7.901662169663081,1.0,0.0,0.1,total
ks_max,KS-max,30,7.619476937664052,1.0,0.0,0.1,total
mmd_rbf,MMD-RBF,30,6.905116729663375,1.0,0.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,6.271129141995528,1.0,0.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,7.052932027342806,1.0,0.0,0.1,total
energy_distance,Energy distance,30,6.354166666666667,1.0,0.25,0.0,total
jsd,JSD,30,7.49765625,1.0,0.25,0.0,total
ks_max,KS-max,30,7.453385416666666,1.0,0.25,0.0,total
mmd_rbf,MMD-RBF,30,7.122135416666667,1.0,0.25,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.770833333333333,1.0,0.25,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,8.37265625,1.0,0.25,0.0,total
energy_distance,Energy distance,30,6.352980272331624,1.0,0.25,0.01,total
jsd,JSD,30,7.497223508632975,1.0,0.25,0.01,total
ks_max,KS-max,30,7.449161235433071,1.0,0.25,0.01,total
mmd_rbf,MMD-RBF,30,7.082933547966337,1.0,0.25,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.592529580866219,1.0,0.25,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,8.205683827734282,1.0,0.25,0.01,total
energy_distance,Energy distance,30,6.348234694991455,1.0,0.25,0.05,total
jsd,JSD,30,7.495492543164874,1.0,0.25,0.05,total
ks_max,KS-max,30,7.432264510498693,1.0,0.25,0.05,total
mmd_rbf,MMD-RBF,30,6.926126073165021,1.0,0.25,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,6.879314570997764,1.0,0.25,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,7.537794138671403,1.0,0.25,0.05,total
energy_distance,Energy distance,30,6.342302723316243,1.0,0.25,0.1,total
jsd,JSD,30,7.493328836329748,1.0,0.25,0.1,total
ks_max,KS-max,30,7.411143604330719,1.0,0.25,0.1,total
mmd_rbf,MMD-RBF,30,6.730116729663375,1.0,0.25,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,5.987795808662195,1.0,0.25,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,6.702932027342807,1.0,0.25,0.1,total
energy_distance,Energy distance,30,6.095833333333333,1.0,0.5,0.0,total
jsd,JSD,30,7.089322916666666,1.0,0.5,0.0,total
ks_max,KS-max,30,7.245052083333333,1.0,0.5,0.0,total
mmd_rbf,MMD-RBF,30,6.947135416666667,1.0,0.5,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.4875,1.0,0.5,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,8.02265625,1.0,0.5,0.0,total
energy_distance,Energy distance,30,6.094646938998292,1.0,0.5,0.01,total
jsd,JSD,30,7.088890175299642,1.0,0.5,0.01,total
ks_max,KS-max,30,7.240827902099738,1.0,0.5,0.01,total
mmd_rbf,MMD-RBF,30,6.907933547966337,1.0,0.5,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.309196247532886,1.0,0.5,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,7.855683827734281,1.0,0.5,0.01,total
energy_distance,Energy distance,30,6.0899013616581215,1.0,0.5,0.05,total
jsd,JSD,30,7.08715920983154,1.0,0.5,0.05,total
ks_max,KS-max,30,7.223931177165359,1.0,0.5,0.05,total
mmd_rbf,MMD-RBF,30,6.751126073165021,1.0,0.5,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,6.5959812376644305,1.0,0.5,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,7.1877941386714035,1.0,0.5,0.05,total
energy_distance,Energy distance,30,6.08396938998291,1.0,0.5,0.1,total
jsd,JSD,30,7.0849955029964145,1.0,0.5,0.1,total
ks_max,KS-max,30,7.202810270997386,1.0,0.5,0.1,total
mmd_rbf,MMD-RBF,30,6.555116729663374,1.0,0.5,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,5.704462475328862,1.0,0.5,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,6.352932027342806,1.0,0.5,0.1,total
energy_distance,Energy distance,30,5.579166666666667,1.0,1.0,0.0,total
jsd,JSD,30,6.27265625,1.0,1.0,0.0,total
ks_max,KS-max,30,6.828385416666666,1.0,1.0,0.0,total
mmd_rbf,MMD-RBF,30,6.597135416666666,1.0,1.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,6.920833333333333,1.0,1.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,7.32265625,1.0,1.0,0.0,total
energy_distance,Energy distance,30,5.577980272331625,1.0,1.0,0.01,total
jsd,JSD,30,6.272223508632975,1.0,1.0,0.01,total
ks_max,KS-max,30,6.824161235433071,1.0,1.0,0.01,total
mmd_rbf,MMD-RBF,30,6.557933547966337,1.0,1.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,6.742529580866219,1.0,1.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,7.155683827734281,1.0,1.0,0.01,total
energy_distance,Energy distance,30,5.573234694991455,1.0,1.0,0.05,total
jsd,JSD,30,6.270492543164874,1.0,1.0,0.05,total
ks_max,KS-max,30,6.807264510498693,1.0,1.0,0.05,total
mmd_rbf,MMD-RBF,30,6.40112607316502,1.0,1.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,6.029314570997764,1.0,1.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,6.487794138671403,1.0,1.0,0.05,total
energy_distance,Energy distance,30,5.567302723316243,1.0,1.0,0.1,total
jsd,JSD,30,6.268328836329747,1.0,1.0,0.1,total
ks_max,KS-max,30,6.786143604330719,1.0,1.0,0.1,total
mmd_rbf,MMD-RBF,30,6.2051167296633745,1.0,1.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,5.137795808662195,1.0,1.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,5.652932027342806,1.0,1.0,0.1,total
energy_distance,Energy distance,30,4.545833333333333,1.0,2.0,0.0,total
jsd,JSD,30,4.639322916666667,1.0,2.0,0.0,total
ks_max,KS-max,30,5.995052083333333,1.0,2.0,0.0,total
mmd_rbf,MMD-RBF,30,5.897135416666667,1.0,2.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,5.7875,1.0,2.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,5.92265625,1.0,2.0,0.0,total
energy_distance,Energy distance,30,4.544646938998292,1.0,2.0,0.01,total
jsd,JSD,30,4.638890175299641,1.0,2.0,0.01,total
ks_max,KS-max,30,5.990827902099738,1.0,2.0,0.01,total
mmd_rbf,MMD-RBF,30,5.857933547966337,1.0,2.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,5.6091962475328865,1.0,2.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,5.755683827734281,1.0,2.0,0.01,total
energy_distance,Energy distance,30,4.539901361658122,1.0,2.0,0.05,total
jsd,JSD,30,4.63715920983154,1.0,2.0,0.05,total
ks_max,KS-max,30,5.973931177165359,1.0,2.0,0.05,total
mmd_rbf,MMD-RBF,30,5.70112607316502,1.0,2.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,4.89598123766443,1.0,2.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,5.087794138671403,1.0,2.0,0.05,total
energy_distance,Energy distance,30,4.53396938998291,1.0,2.0,0.1,total
jsd,JSD,30,4.634995502996414,1.0,2.0,0.1,total
ks_max,KS-max,30,5.952810270997386,1.0,2.0,0.1,total
mmd_rbf,MMD-RBF,30,5.505116729663374,1.0,2.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,4.004462475328862,1.0,2.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,4.252932027342807,1.0,2.0,0.1,total
energy_distance,Energy distance,30,1.3458333333333334,2.0,0.0,0.0,total
jsd,JSD,30,4.305989583333333,2.0,0.0,0.0,total
ks_max,KS-max,30,4.195052083333334,2.0,0.0,0.0,total
mmd_rbf,MMD-RBF,30,3.197135416666667,2.0,0.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,4.854166666666667,2.0,0.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,5.555989583333333,2.0,0.0,0.0,total
energy_distance,Energy distance,30,1.3446469389982911,2.0,0.0,0.01,total
jsd,JSD,30,4.305556841966308,2.0,0.0,0.01,total
ks_max,KS-max,30,4.1908279020997385,2.0,0.0,0.01,total
mmd_rbf,MMD-RBF,30,3.1579335479663375,2.0,0.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,4.675862914199553,2.0,0.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,5.389017161067614,2.0,0.0,0.01,total
energy_distance,Energy distance,30,1.3399013616581215,2.0,0.0,0.05,total
jsd,JSD,30,4.303825876498207,2.0,0.0,0.05,total
ks_max,KS-max,30,4.173931177165359,2.0,0.0,0.05,total
mmd_rbf,MMD-RBF,30,3.0011260731650204,2.0,0.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,3.9626479043310976,2.0,0.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,4.721127472004737,2.0,0.0,0.05,total
energy_distance,Energy distance,30,1.3339693899829095,2.0,0.0,0.1,total
jsd,JSD,30,4.30166216966308,2.0,0.0,0.1,total
ks_max,KS-max,30,4.152810270997385,2.0,0.0,0.1,total
mmd_rbf,MMD-RBF,30,2.8051167296633746,2.0,0.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,3.071129141995528,2.0,0.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,3.8862653606761404,2.0,0.0,0.1,total
energy_distance,Energy distance,30,1.0875,2.0,0.25,0.0,total
jsd,JSD,30,3.89765625,2.0,0.25,0.0,total
ks_max,KS-max,30,3.98671875,2.0,0.25,0.0,total
mmd_rbf,MMD-RBF,30,3.0221354166666665,2.0,0.25,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,4.570833333333334,2.0,0.25,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,5.205989583333333,2.0,0.25,0.0,total
energy_distance,Energy distance,30,1.0863136056649576,2.0,0.25,0.01,total
jsd,JSD,30,3.8972235086329747,2.0,0.25,0.01,total
ks_max,KS-max,30,3.982494568766405,2.0,0.25,0.01,total
mmd_rbf,MMD-RBF,30,2.9829335479663377,2.0,0.25,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,4.39252958086622,2.0,0.25,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,5.039017161067615,2.0,0.25,0.01,total
energy_distance,Energy distance,30,1.0815680283247882,2.0,0.25,0.05,total
jsd,JSD,30,3.8954925431648735,2.0,0.25,0.05,total
ks_max,KS-max,30,3.9655978438320263,2.0,0.25,0.05,total
mmd_rbf,MMD-RBF,30,2.8261260731650206,2.0,0.25,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,3.679314570997764,2.0,0.25,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,4.371127472004736,2.0,0.25,0.05,total
energy_distance,Energy distance,30,1.0756360566495762,2.0,0.25,0.1,total
jsd,JSD,30,3.8933288363297467,2.0,0.25,0.1,total
ks_max,KS-max,30,3.9444769376640516,2.0,0.25,0.1,total
mmd_rbf,MMD-RBF,30,2.6301167296633747,2.0,0.25,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,2.7877958086621946,2.0,0.25,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,3.5362653606761403,2.0,0.25,0.1,total
energy_distance,Energy distance,30,0.8291666666666667,2.0,0.5,0.0,total
jsd,JSD,30,3.4893229166666666,2.0,0.5,0.0,total
ks_max,KS-max,30,3.7783854166666666,2.0,0.5,0.0,total
mmd_rbf,MMD-RBF,30,2.8471354166666667,2.0,0.5,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,4.2875,2.0,0.5,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,4.855989583333334,2.0,0.5,0.0,total
energy_distance,Energy distance,30,0.8279802723316243,2.0,0.5,0.01,total
jsd,JSD,30,3.4888901752996415,2.0,0.5,0.01,total
ks_max,KS-max,30,3.7741612354330716,2.0,0.5,0.01,total
mmd_rbf,MMD-RBF,30,2.8079335479663374,2.0,0.5,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,4.1091962475328865,2.0,0.5,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,4.689017161067614,2.0,0.5,0.01,total
energy_distance,Energy distance,30,0.8232346949914547,2.0,0.5,0.05,total
jsd,JSD,30,3.4871592098315403,2.0,0.5,0.05,total
ks_max,KS-max,30,3.757264510498693,2.0,0.5,0.05,total
mmd_rbf,MMD-RBF,30,2.651126073165021,2.0,0.5,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,3.3959812376644307,2.0,0.5,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,4.0211274720047365,2.0,0.5,0.05,total
energy_distance,Energy distance,30,0.8173027233162429,2.0,0.5,0.1,total
jsd,JSD,30,3.4849955029964135,2.0,0.5,0.1,total
ks_max,KS-max,30,3.7361436043307186,2.0,0.5,0.1,total
mmd_rbf,MMD-RBF,30,2.4551167296633745,2.0,0.5,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,2.5044624753288613,2.0,0.5,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,3.18626536067614,2.0,0.5,0.1,total
energy_distance,Energy distance,30,0.3125,2.0,1.0,0.0,total
jsd,JSD,30,2.67265625,2.0,1.0,0.0,total
ks_max,KS-max,30,3.36171875,2.0,1.0,0.0,total
mmd_rbf,MMD-RBF,30,2.4971354166666666,2.0,1.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,3.720833333333333,2.0,1.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,4.155989583333334,2.0,1.0,0.0,total
energy_distance,Energy distance,30,0.31131360566495764,2.0,1.0,0.01,total
jsd,JSD,30,2.6722235086329746,2.0,1.0,0.01,total
ks_max,KS-max,30,3.357494568766405,2.0,1.0,0.01,total
mmd_rbf,MMD-RBF,30,2.4579335479663373,2.0,1.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,3.5425295808662196,2.0,1.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,3.989017161067614,2.0,1.0,0.01,total
energy_distance,Energy distance,30,0.30656802832478813,2.0,1.0,0.05,total
jsd,JSD,30,2.670492543164874,2.0,1.0,0.05,total
ks_max,KS-max,30,3.3405978438320263,2.0,1.0,0.05,total
mmd_rbf,MMD-RBF,30,2.3011260731650207,2.0,1.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,2.8293145709977643,2.0,1.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,3.321127472004737,2.0,1.0,0.05,total
energy_distance,Energy distance,30,0.3006360566495762,2.0,1.0,0.1,total
jsd,JSD,30,2.668328836329747,2.0,1.0,0.1,total
ks_max,KS-max,30,3.3194769376640516,2.0,1.0,0.1,total
mmd_rbf,MMD-RBF,30,2.1051167296633744,2.0,1.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,1.9377958086621947,2.0,1.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,2.4862653606761405,2.0,1.0,0.1,total
energy_distance,Energy distance,30,-0.7208333333333333,2.0,2.0,0.0,total
jsd,JSD,30,1.0393229166666667,2.0,2.0,0.0,total
ks_max,KS-max,30,2.5283854166666666,2.0,2.0,0.0,total
mmd_rbf,MMD-RBF,30,1.7971354166666667,2.0,2.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,2.5875,2.0,2.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,2.755989583333333,2.0,2.0,0.0,total
energy_distance,Energy distance,30,-0.7220197276683756,2.0,2.0,0.01,total
jsd,JSD,30,1.0388901752996413,2.0,2.0,0.01,total
ks_max,KS-max,30,2.5241612354330716,2.0,2.0,0.01,total
mmd_rbf,MMD-RBF,30,1.7579335479663376,2.0,2.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,2.409196247532886,2.0,2.0,0.01,total
