scenario,policy,transformer_policy,arm,seed,ba,attack_f1,attack_recall,fpr,triggers,candidates_trained,commits,rejects,labels_total,labels_probe,labels_candidate,n_resolved_proposals,n_commits_logged,mean_delta_res1,harmful_commits_h1,censored_h1,mean_delta_res3,harmful_commits_h3,censored_h3,mean_delta_res5,harmful_commits_h5,censored_h5,mean_delta_res10,harmful_commits_h10,censored_h10
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3027,0.898125,0.9067921478813126,0.96765625,0.17140625,3,3,3,0,0,0,3072,3.0,3.0,-0.018229166666666668,2.0,0.0,0.0008680555555555334,1.0,0.0,0.0010416666666666996,1.0,0.0,0.007291666666666666,1.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3028,0.940625,0.942439121754469,0.97265625,0.09140625,4,4,4,0,0,0,4096,4.0,4.0,0.03125,0.0,0.0,0.02408854166666665,0.0,0.0,0.024999999999999994,1.0,0.0,0.02734374999999995,1.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3029,0.92984375,0.9331763125559799,0.974375,0.1146875,3,3,3,0,0,0,3072,3.0,3.0,0.015625,1.0,0.0,0.026909722222222265,1.0,0.0,0.0322916666666666,1.0,0.0,0.025520833333333298,1.0,0.0
ps_full,naive,frozen_initial_transformer,sp_ps_full_naive_froz,3030,0.929140625,0.9326356114813114,0.96984375,0.1115625,4,4,4,0,0,0,4096,4.0,4.0,0.009765625,1.0,0.0,0.0078125,1.0,0.0,0.013281249999999951,0.0,0.0,0.013085937499999952,0.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3001,0.956328125,0.9574849036793713,0.98,0.06734375,3,3,3,0,0,0,3072,3.0,3.0,0.015625,0.0,0.0,3.23815048849004e-17,1.0,0.0,0.0005208333333333338,1.0,0.0,0.0007812499999999672,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3002,0.94390625,0.9464055173089452,0.97640625,0.08859375,3,3,3,0,0,0,3072,3.0,3.0,-0.013020833333333334,1.0,0.0,-0.016493055555555598,1.0,0.0,-0.010937500000000001,1.0,0.0,-0.01041666666666667,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3003,0.94,0.9408867307114717,0.9565625,0.0765625,4,4,4,0,0,0,4096,4.0,4.0,0.015625,1.0,0.0,0.01106770833333335,2.0,0.0,0.014062500000000002,2.0,0.0,0.01875,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3004,0.94671875,0.9481789676059248,0.97671875,0.08328125,2,2,2,0,0,0,2048,2.0,2.0,0.04296875,0.0,0.0,0.04687500000000005,1.0,0.0,0.05078125,1.0,0.0,0.04453125000000005,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3005,0.947734375,0.9490829542956686,0.9684375,0.07296875,4,4,4,0,0,0,4096,4.0,4.0,0.0,2.0,0.0,0.00846354166666665,1.0,0.0,0.010546874999999975,1.0,0.0,0.015364583333333334,1.0,1.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3006,0.94875,0.9512712928750946,0.98453125,0.08703125,4,4,4,0,0,0,4096,4.0,4.0,0.0078125,1.0,0.0,0.0026041666666666665,1.0,1.0,0.001562499999999999,2.0,1.0,0.0010416666666666328,2.0,1.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3007,0.949609375,0.9506637730561553,0.96796875,0.06875,4,4,4,0,0,0,4096,4.0,4.0,0.005859375,2.0,0.0,0.011718749999999976,2.0,0.0,0.017968750000000026,1.0,0.0,0.022265624999999997,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3008,0.951328125,0.9530296822955523,0.979375,0.07671875,3,3,3,0,0,0,3072,3.0,3.0,0.020833333333333332,1.0,0.0,0.0008680555555555339,2.0,0.0,-0.0067708333333333,2.0,0.0,-0.004947916666666634,2.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3009,0.948515625,0.9504506429681747,0.97890625,0.081875,4,4,4,0,0,0,4096,4.0,4.0,0.015625,1.0,0.0,0.01041666666666665,1.0,0.0,0.008203124999999974,1.0,0.0,0.01347656249999995,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3010,0.945,0.9484732292317715,0.9821875,0.0921875,4,4,4,0,0,0,4096,4.0,4.0,-0.013671875,2.0,0.0,-0.009765625,2.0,0.0,-0.010156250000000025,2.0,0.0,-0.007812499999999951,2.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3011,0.943046875,0.945954892492121,0.986875,0.10078125,2,2,2,0,0,0,2048,2.0,2.0,-0.00390625,1.0,0.0,-0.0065104166666665984,1.0,0.0,-0.007031249999999999,1.0,0.0,-0.00390625,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3012,0.949765625,0.9513706480862438,0.97578125,0.07625,4,4,4,0,0,0,4096,4.0,4.0,-0.001953125,3.0,0.0,0.012369791666666675,2.0,0.0,0.0166666666666666,0.0,1.0,0.02291666666666663,0.0,1.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3013,0.9484375,0.9498925813900745,0.9715625,0.0746875,4,4,4,0,0,0,4096,4.0,4.0,-0.017578125,3.0,0.0,-0.00781249999999995,3.0,0.0,-0.0003906250000000257,2.0,0.0,0.001757812500000025,3.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3014,0.95515625,0.9566942124607352,0.98359375,0.07328125,4,4,4,0,0,0,4096,4.0,4.0,0.001953125,2.0,0.0,-0.0006510416666666999,2.0,0.0,-0.002343749999999975,2.0,0.0,0.0007812500000000248,2.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3015,0.947421875,0.9492217157957158,0.97421875,0.079375,3,3,3,0,0,0,3072,3.0,3.0,-0.018229166666666668,2.0,0.0,-0.016493055555555497,2.0,0.0,-0.012500000000000034,1.0,0.0,-0.009635416666666733,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3016,0.943046875,0.9464953961290965,0.990625,0.10453125,4,4,4,0,0,0,4096,4.0,4.0,0.01171875,1.0,0.0,0.0032552083333333495,2.0,0.0,0.007031250000000024,2.0,0.0,0.006445312499999975,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3017,0.948359375,0.948590506740605,0.960625,0.06390625,3,3,3,0,0,0,3072,3.0,3.0,0.0390625,0.0,0.0,0.03125,1.0,0.0,0.028645833333333297,1.0,0.0,0.037499999999999936,0.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3018,0.9503125,0.9526833130273026,0.98515625,0.08453125,3,3,3,0,0,0,3072,3.0,3.0,0.010416666666666666,1.0,0.0,0.0078125,1.0,0.0,0.008333333333333333,1.0,0.0,0.009114583333333334,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3019,0.94578125,0.9464710288929914,0.9571875,0.065625,3,3,3,0,0,0,3072,3.0,3.0,0.0026041666666666665,1.0,0.0,0.008680555555555533,1.0,0.0,0.009375,1.0,0.0,0.016927083333333332,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3020,0.948359375,0.9487755423362418,0.9609375,0.06421875,3,3,3,0,0,0,3072,3.0,3.0,0.010416666666666666,2.0,0.0,0.011284722222222267,1.0,0.0,0.016145833333333335,1.0,0.0,0.022395833333333368,1.0,0.0
ps_full,naive,own_transformer_per_model,sp_ps_full_naive_own,3021,0.93796875,0.9401940080269671,0.96703125,0.09109375,3,3,3,0,0,0,3072,3.0,3.0,0.026041666666666668,0.0,0.0,0.016493055555555535,0.0,0.0,0.017708333333333232,0.0,0.0,0.02317708333333333,0.0,0.0
