scenario,policy,transformer_policy,ba,attack_recall,fpr,attack_f1,d_recall_vs_naive_pp,recall_onesided_lo95,d_fpr_vs_naive_pp,fpr_onesided_hi95,recall_NI_principal,recall_NI_strict,recall_NI_lax,fpr_NI_principal,fpr_NI_strict,fpr_NI_lax
ps_zero,strict,frozen_initial_transformer,95.37109375,99.75364583333334,9.011458333333332,95.62361356858281,0.4844,-0.0219,-7.5682,-4.8406,True,True,True,True,True,True
ps_zero,naive,own_transformer_per_model,93.70104166666667,99.709375,12.307291666666668,94.11888641751813,,,,,,,,,,
ps_zero,point,own_transformer_per_model,94.45442708333333,99.68749999999999,10.778645833333332,94.7803606001552,-0.0219,-0.0661,-1.5286,-0.9292,True,True,True,True,True,True
ps_zero,strict,own_transformer_per_model,95.37786458333332,99.7328125,8.977083333333335,95.61129668810976,0.0234,-0.024,-3.3302,-2.6016,True,True,True,True,True,True
unsw_zero,naive,frozen_initial_transformer,88.40989583333332,96.90572916666666,20.0859375,89.35548504073692,,,,,,,,,,
unsw_zero,point,frozen_initial_transformer,88.62265625000002,96.34895833333331,19.10364583333334,89.47355080300264,-0.5568,-0.8047,-0.9823,-0.6156,True,False,True,True,True,True
unsw_zero,strict,frozen_initial_transformer,88.846875,96.08802083333333,18.394270833333334,89.63154473198662,-0.8177,-1.0979,-1.6917,-1.2521,False,False,True,True,True,True
unsw_zero,naive,own_transformer_per_model,88.4375,96.75208333333333,19.87708333333333,89.36204016023001,,,,,,,,,,
unsw_zero,point,own_transformer_per_model,88.62552083333335,96.12343750000001,18.872395833333336,89.45135835088347,-0.6286,-0.9161,-1.0047,-0.6167,True,False,True,True,True,True
unsw_zero,strict,own_transformer_per_model,88.94401041666669,95.76354166666667,17.875520833333336,89.67741547241201,-0.9885,-1.262,-2.0016,-1.6297,False,False,True,True,True,True
ton_zero,naive,frozen_initial_transformer,86.70052083333333,87.22760416666667,13.8265625,83.67127070531436,,,,,,,,,,
ton_zero,point,frozen_initial_transformer,92.16614583333332,93.94427083333333,9.611979166666668,92.3197875620598,6.7167,1.8589,-4.2146,-2.1448,True,True,True,True,True,True
ton_zero,strict,frozen_initial_transformer,92.57265625,93.7921875,8.646875000000001,92.66701918644299,6.5646,1.7083,-5.1797,-3.1719,True,True,True,True,True,True
ton_zero,naive,own_transformer_per_model,92.19401041666669,93.57187499999998,9.183854166666666,92.31049178670678,,,,,,,,,,
ton_zero,point,own_transformer_per_model,92.30286458333335,93.4395833333333,8.833854166666665,92.39511434569133,-0.1323,-0.1995,-0.35,-0.1813,True,True,True,True,True,True
ton_zero,strict,own_transformer_per_model,92.53020833333333,93.67239583333333,8.611979166666666,92.61869707005322,0.1005,-0.0693,-0.5719,-0.2682,True,True,True,True,True,True
