scenario,policy,transformer_policy,ba_mean,ba_sd,recall_mean,fpr_mean,f1_mean,triggers_mean,candidates_mean,commits_mean,rejects_mean,labels_probe_mean,labels_candidate_mean
ps_zero,point,frozen_initial_transformer,0.9427473958333333,0.024802748263976927,0.9974895833333334,0.11199479166666666,0.9465722988266527,3.466666666666667,3.466666666666667,1.8666666666666667,1.6,110.93333333333334,3549.866666666667
ps_zero,point,own_transformer_per_model,0.9445442708333334,0.01057255779694305,0.996875,0.10778645833333332,0.947803606001552,3.466666666666667,3.466666666666667,2.3,1.1666666666666667,110.93333333333334,3549.866666666667
ps_zero,strict,frozen_initial_transformer,0.9537109375,0.02010774986818725,0.9975364583333334,0.09011458333333335,0.9562361356858282,3.466666666666667,3.466666666666667,0.13333333333333333,3.3333333333333335,110.93333333333334,3549.866666666667
ps_zero,strict,own_transformer_per_model,0.9537786458333333,0.010928692638792321,0.9973281249999999,0.08977083333333334,0.9561129668810975,3.466666666666667,3.466666666666667,0.4666666666666667,3.0,110.93333333333334,3549.866666666667
ton_full,naive,frozen_initial_transformer,0.8744817708333333,0.05851863534211038,0.9116562500000001,0.16269270833333332,0.8610315524307379,2.7,2.7,2.7,0.0,0.0,2764.8
ton_full,naive,own_transformer_per_model,0.9342604166666667,0.013459859062768184,0.95934375,0.09082291666666667,0.936443639837244,2.7,2.7,2.7,0.0,0.0,2764.8
ton_full,never,n/a,0.9239713541666668,0.007692999946077505,,,0.9244857885300114,0.0,0.0,0.0,0.0,0.0,0.0
ton_full,point,frozen_initial_transformer,0.9300338541666666,0.007427662878548948,0.9547447916666666,0.09467708333333333,0.9318458083523092,3.7666666666666666,3.7666666666666666,2.0,1.7666666666666666,120.53333333333333,3857.0666666666666
ton_full,point,own_transformer_per_model,0.9406718749999999,0.010763795372152773,0.9550729166666667,0.07372916666666667,0.9417834686140764,3.3666666666666667,3.3666666666666667,2.2,1.1666666666666667,107.73333333333333,3447.4666666666667
ton_full,strict,frozen_initial_transformer,0.9283072916666666,0.0061757215116079265,0.9475364583333333,0.090921875,0.929710384493907,5.133333333333334,5.133333333333334,1.0333333333333334,4.1,164.26666666666668,5256.533333333334
ton_full,strict,own_transformer_per_model,0.9360286458333333,0.010174719680863035,0.9481927083333334,0.07613541666666666,0.936962398273313,5.066666666666666,5.066666666666666,1.4,3.6666666666666665,162.13333333333333,5188.266666666666
ton_zero,naive,frozen_initial_transformer,0.8670052083333334,0.08501331856916024,0.8722760416666666,0.138265625,0.8367127070531434,3.466666666666667,3.466666666666667,3.466666666666667,0.0,0.0,3549.866666666667
ton_zero,naive,own_transformer_per_model,0.9219401041666667,0.005377552526643909,0.9357187499999999,0.09183854166666668,0.9231049178670676,3.466666666666667,3.466666666666667,3.466666666666667,0.0,0.0,3549.866666666667
ton_zero,never,n/a,0.9257500000000001,0.0025320048629648086,,,0.9266292520687437,0.0,0.0,0.0,0.0,0.0,0.0
ton_zero,point,frozen_initial_transformer,0.9216614583333332,0.00685755689484906,0.9394427083333333,0.09611979166666668,0.9231978756205981,3.466666666666667,3.466666666666667,1.7333333333333334,1.7333333333333334,110.93333333333334,3549.866666666667
