policy_name,adaptation_policy,policy_k,policy_n,cooldown_windows,method,n_seeds,mean_balanced_accuracy,std_balanced_accuracy,cumulative_error_area_mean,cumulative_error_area_std,mean_gain_vs_no_adapt,cumulative_gain_vs_no_adapt_mean,n_adaptations_mean,false_adaptations_mean,first_adaptation_window_mean,alarm_rate_mean,trigger_rate_mean,detector_runtime_sec_total_mean,fit_runtime_sec_total_mean,regime,regime_label,policy_dir,summary_path,policy_rank,method_rank
k3_of_5_cooldown0,k_of_n,3,5,0,ks_max,10,0.8828125,0.0540840967219492,11.71875,5.40840967219493,-0.0373125,-3.73125,3.2,0.1,24.5,0.181,0.032,0.2463636200176552,0.0316885299747809,ton_iot_scanning,ToN-IoT Scanning,k3_of_5_cooldown0,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\k3_of_5_cooldown0\paper2_progressive_readaptation_summary.csv,2,1
k3_of_5_cooldown0,k_of_n,3,5,0,qk_mmd_zz,10,0.8854218750000001,0.0530970003828161,11.4578125,5.309700038281615,-0.0347031249999999,-3.4703125,3.4,0.0,27.5,0.185,0.0339999999999999,6.901575800334103,0.032465329975821,ton_iot_scanning,ToN-IoT Scanning,k3_of_5_cooldown0,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\k3_of_5_cooldown0\paper2_progressive_readaptation_summary.csv,2,2
k2_of_3_cooldown3,k_of_n,2,3,3,no_adaptation,10,0.920125,0.0051593004444777,7.9875,0.5159300444477807,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,ton_iot_scanning,ToN-IoT Scanning,k2_of_3_cooldown3,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\k2_of_3_cooldown3\paper2_progressive_readaptation_summary.csv,3,0
k2_of_3_cooldown3,k_of_n,2,3,3,ks_max,10,0.8684609375000001,0.0457511551693206,13.15390625,4.575115516932066,-0.0516640624999999,-5.16640625,3.7,0.1,21.8,0.146,0.037,0.2372018298832699,0.035785359935835,ton_iot_scanning,ToN-IoT Scanning,k2_of_3_cooldown3,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\k2_of_3_cooldown3\paper2_progressive_readaptation_summary.csv,3,1
k2_of_3_cooldown3,k_of_n,2,3,3,qk_mmd_zz,10,0.87403125,0.061693496503689,12.596875,6.169349650368907,-0.04609375,-4.609375,4.4,0.2,20.2,0.143,0.044,6.908591070724651,0.0450654099695384,ton_iot_scanning,ToN-IoT Scanning,k2_of_3_cooldown3,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\k2_of_3_cooldown3\paper2_progressive_readaptation_summary.csv,3,2
k3_of_5_cooldown5,k_of_n,3,5,5,no_adaptation,10,0.920125,0.0051593004444777,7.9875,0.5159300444477807,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,ton_iot_scanning,ToN-IoT Scanning,k3_of_5_cooldown5,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\k3_of_5_cooldown5\paper2_progressive_readaptation_summary.csv,4,0
k3_of_5_cooldown5,k_of_n,3,5,5,ks_max,10,0.8828125,0.0540840967219492,11.71875,5.40840967219493,-0.0373125,-3.73125,3.2,0.1,24.5,0.181,0.032,0.2486065601464361,0.0304154099198058,ton_iot_scanning,ToN-IoT Scanning,k3_of_5_cooldown5,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\k3_of_5_cooldown5\paper2_progressive_readaptation_summary.csv,4,1
k3_of_5_cooldown5,k_of_n,3,5,5,qk_mmd_zz,10,0.8854218750000001,0.0530970003828161,11.4578125,5.309700038281615,-0.0347031249999999,-3.4703125,3.4,0.0,27.5,0.185,0.0339999999999999,6.800143149844371,0.0321549398824572,ton_iot_scanning,ToN-IoT Scanning,k3_of_5_cooldown5,results\raw\paper2_safe_readaptation_phase1_001\ton_iot_scanning\k3_of_5_cooldown5\paper2_progressive_readaptation_summary.csv,4,2
legacy_consecutive3_cooldown10,consecutive,3,3,10,no_adaptation,10,0.8460234375000001,0.0068903169416525,15.39765625,0.689031694165251,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,unsw_nb15_reconnaissance,UNSW-NB15 Reconnaissance,legacy_consecutive3_cooldown10,results\raw\paper2_safe_readaptation_phase1_001\unsw_nb15_reconnaissance\legacy_consecutive3_cooldown10\paper2_progressive_readaptation_summary.csv,0,0
legacy_consecutive3_cooldown10,consecutive,3,3,10,ks_max,10,0.8469218749999999,0.0068433813637399,15.3078125,0.6843381363739954,0.0008984375,0.08984375,2.5,0.0,33.9,0.205,0.025,0.2630171200027689,0.0246090500382706,unsw_nb15_reconnaissance,UNSW-NB15 Reconnaissance,legacy_consecutive3_cooldown10,results\raw\paper2_safe_readaptation_phase1_001\unsw_nb15_reconnaissance\legacy_consecutive3_cooldown10\paper2_progressive_readaptation_summary.csv,0,1
legacy_consecutive3_cooldown10,consecutive,3,3,10,qk_mmd_zz,10,0.8494609375,0.003431270001586,15.05390625,0.3431270001586105,0.0034374999999999,0.34375,2.7,0.0,34.4,0.233,0.027,7.146574650495313,0.0260165200103074,unsw_nb15_reconnaissance,UNSW-NB15 Reconnaissance,legacy_consecutive3_cooldown10,results\raw\paper2_safe_readaptation_phase1_001\unsw_nb15_reconnaissance\legacy_consecutive3_cooldown10\paper2_progressive_readaptation_summary.csv,0,2
