scenario,policy,candidate_size,ba_mean,ba_sd,recall_mean,fpr_mean,f1_mean,triggers_mean,commits_mean,rejects_mean,labels_probe_mean,labels_monitor_mean,labels_candidate_mean
ps_zero,atc,2000,0.8870989583333333,0.005695526399555333,0.8366770833333333,0.06247916666666666,0.8805745224300815,3.5,1.6333333333333333,1.8666666666666667,0.0,0.0,14000.0
ps_zero,atc,512,0.8875963541666666,0.015330943701590572,0.8406875,0.06549479166666666,0.8814043142597742,3.5,0.9,2.6,0.0,0.0,3584.0
ps_zero,ddm,2000,0.8888177083333333,0.00817964706039852,0.8422135416666666,0.064578125,0.8828093510470428,1.2333333333333334,1.2333333333333334,0.0,0.0,800.0,4933.333333333333
ps_zero,doc,2000,0.8869036458333334,0.004985139357626858,0.8353645833333334,0.061557291666666666,0.8802333830660491,3.5,1.1,2.4,0.0,0.0,14000.0
ps_zero,doc,512,0.8914348958333334,0.019517155295033,0.8454427083333333,0.06257291666666667,0.8854034624486347,3.5,0.26666666666666666,3.2333333333333334,0.0,0.0,3584.0
ps_zero,enscal,2000,0.8948802083333334,0.005513850869387194,0.8338177083333334,0.04405729166666667,0.887473407662099,3.5,3.5,0.0,0.0,0.0,14000.0
ps_zero,enscal,512,0.8933307291666667,0.006742998398329511,0.8360052083333334,0.04934375,0.8862633669259854,3.5,3.5,0.0,0.0,0.0,3584.0
ps_zero,naive,2000,0.8876302083333333,0.0072356640708105,0.8411666666666666,0.06590625,0.8815727780073612,3.5,3.5,0.0,0.0,0.0,14000.0
ps_zero,naive,512,0.8819427083333333,0.01652112050597623,0.8452864583333334,0.08140104166666666,0.8767202001601361,3.5,3.5,0.0,0.0,0.0,3584.0
ps_zero,never,n/a,0.8906588541666667,0.015717555656692007,,,0.8848281851631821,0.0,0.0,0.0,0.0,0.0,0.0
ps_zero,point,2000,0.8880625,0.007011988704161213,0.8391927083333334,0.06306770833333333,0.8817262961505397,3.5,2.9,0.6,112.0,0.0,14000.0
ps_zero,point,512,0.8880625,0.020719057995578327,0.8483645833333333,0.07223958333333333,0.8824739608138505,3.5,2.433333333333333,1.0666666666666667,112.0,0.0,3584.0
ps_zero,replay,2000,0.8868385416666666,0.005841251905510926,0.8418229166666666,0.06814583333333334,0.880954052916566,3.5,3.5,0.0,0.0,0.0,14000.0
ps_zero,strict,2000,0.8913411458333333,0.015568811732531862,0.8475416666666666,0.064859375,0.8856002731430163,3.5,0.3333333333333333,3.1666666666666665,112.0,0.0,14000.0
ps_zero,strict,512,0.889875,0.015715411913329015,0.8447864583333333,0.06503645833333334,0.8837652993144512,3.5,0.23333333333333334,3.2666666666666666,112.0,0.0,3584.0
ton_full,adwin,2000,0.8151015625,0.06453352368640991,0.9094947916666667,0.27929166666666666,0.8236270762211506,0.1,0.1,0.0,0.0,800.0,400.0
ton_full,atc,2000,0.84315625,0.009085406914601014,0.9686822916666668,0.28236979166666665,0.8606190721007118,2.533333333333333,1.7333333333333334,0.8,0.0,0.0,10133.333333333334
ton_full,atc,512,0.8403255208333333,0.008781407306363922,0.9663385416666667,0.2856875,0.8582423639654415,2.7,1.8666666666666667,0.8333333333333334,0.0,0.0,2764.8
ton_full,ddm,2000,0.8470442708333333,0.01123427577120742,0.9722447916666667,0.27815625,0.8644560436944574,1.0666666666666667,1.0666666666666667,0.0,0.0,800.0,4266.666666666667
ton_full,doc,2000,0.8436015625,0.00865338220226772,0.9687083333333334,0.2815052083333333,0.8609960041936843,2.466666666666667,1.9666666666666666,0.5,0.0,0.0,9866.666666666666
ton_full,doc,512,0.8412083333333332,0.010715098256169578,0.966328125,0.28391145833333337,0.8590113057732771,2.7333333333333334,1.7666666666666666,0.9666666666666667,0.0,0.0,2798.9333333333334
ton_full,enscal,2000,0.8446328125,0.008742784653998786,0.9705885416666666,0.28132291666666664,0.8620011709533288,2.1666666666666665,2.1666666666666665,0.0,0.0,0.0,8666.666666666666
ton_full,enscal,512,0.8422083333333333,0.00853565624234181,0.96828125,0.2838645833333333,0.8598868727408158,2.1666666666666665,2.1666666666666665,0.0,0.0,0.0,2218.6666666666665
ton_full,naive,2000,0.8453098958333334,0.010300339031397411,0.9685416666666666,0.277921875,0.8624499281570741,2.1666666666666665,2.1666666666666665,0.0,0.0,0.0,8666.666666666666
ton_full,naive,512,0.8407916666666666,0.010833164095716144,0.9660729166666666,0.28448958333333335,0.8586881134734956,2.1666666666666665,2.1666666666666665,0.0,0.0,0.0,2218.6666666666665
