scenario,policy,candidate_size,origin,labels_probe_mean,labels_monitor_mean,labels_candidate_mean,labels_trainingtime_validation_analytic,note
ps_zero,naive,512,anchor,0.0,0.0,3584.0,0.0,
ps_zero,point,512,anchor-ours,112.0,0.0,3584.0,0.0,
ps_zero,strict,512,anchor-ours,112.0,0.0,3584.0,0.0,
ps_zero,atc,512,published-generic,0.0,0.0,3584.0,2304.0,ATC/DoC validation samples are drawn at training time and are not in the runner's counters; documented analytically (candidates x gate-val-size + one incumbent sample)
ps_zero,doc,512,published-generic,0.0,0.0,3584.0,2304.0,ATC/DoC validation samples are drawn at training time and are not in the runner's counters; documented analytically (candidates x gate-val-size + one incumbent sample)
ps_zero,enscal,512,standard-baseline,0.0,0.0,3584.0,0.0,
unsw_zero,naive,2000,anchor,0.0,0.0,14000.0,0.0,
unsw_zero,point,2000,anchor-ours,112.0,0.0,14000.0,0.0,
unsw_zero,strict,2000,anchor-ours,112.0,0.0,14000.0,0.0,
unsw_zero,atc,2000,published-generic,0.0,0.0,14000.0,2304.0,ATC/DoC validation samples are drawn at training time and are not in the runner's counters; documented analytically (candidates x gate-val-size + one incumbent sample)
unsw_zero,doc,2000,published-generic,0.0,0.0,14000.0,2304.0,ATC/DoC validation samples are drawn at training time and are not in the runner's counters; documented analytically (candidates x gate-val-size + one incumbent sample)
unsw_zero,enscal,2000,standard-baseline,0.0,0.0,14000.0,0.0,
unsw_zero,replay,2000,standard-baseline,0.0,0.0,14000.0,0.0,
unsw_zero,ddm,2000,reference-implementation,0.0,800.0,1866.6666666666667,0.0,
unsw_zero,adwin,2000,reference-implementation,0.0,800.0,0.0,0.0,
unsw_zero,naive,512,anchor,0.0,0.0,3584.0,0.0,
unsw_zero,point,512,anchor-ours,112.0,0.0,3584.0,0.0,
unsw_zero,strict,512,anchor-ours,112.0,0.0,3584.0,0.0,
unsw_zero,atc,512,published-generic,0.0,0.0,3584.0,2304.0,ATC/DoC validation samples are drawn at training time and are not in the runner's counters; documented analytically (candidates x gate-val-size + one incumbent sample)
unsw_zero,doc,512,published-generic,0.0,0.0,3584.0,2304.0,ATC/DoC validation samples are drawn at training time and are not in the runner's counters; documented analytically (candidates x gate-val-size + one incumbent sample)
unsw_zero,enscal,512,standard-baseline,0.0,0.0,3584.0,0.0,
ton_zero,naive,2000,anchor,0.0,0.0,14000.0,0.0,
ton_zero,point,2000,anchor-ours,112.0,0.0,14000.0,0.0,
ton_zero,strict,2000,anchor-ours,112.0,0.0,14000.0,0.0,
ton_zero,atc,2000,published-generic,0.0,0.0,14000.0,2304.0,ATC/DoC validation samples are drawn at training time and are not in the runner's counters; documented analytically (candidates x gate-val-size + one incumbent sample)
ton_zero,doc,2000,published-generic,0.0,0.0,14000.0,2304.0,ATC/DoC validation samples are drawn at training time and are not in the runner's counters; documented analytically (candidates x gate-val-size + one incumbent sample)
ton_zero,enscal,2000,standard-baseline,0.0,0.0,14000.0,0.0,
ton_zero,replay,2000,standard-baseline,0.0,0.0,14000.0,0.0,
ton_zero,ddm,2000,reference-implementation,0.0,800.0,4800.0,0.0,
ton_zero,adwin,2000,reference-implementation,0.0,800.0,0.0,0.0,
