family,scenario,contrast,effect_pp,p_holm,classification
SF5 method x size interaction (secondary),unsw_full,unsw_full: (strict-naive)@2000 - (strict-naive)@512,-0.1482,1.0,COMPATIBLE
SF5 method x size interaction (secondary),ton_full,ton_full: (strict-naive)@2000 - (strict-naive)@512,-0.3914,1.0,UNRESOLVED
SF5 method x size interaction (secondary),ps_zero,ps_zero: (strict-naive)@2000 - (strict-naive)@512,-0.4221,1.0,UNRESOLVED
SF5 method x size interaction (secondary),unsw_zero,unsw_zero: (strict-naive)@2000 - (strict-naive)@512,-0.9966,0.0015599844001559986,MATERIAL COST
SF5 method x size interaction (secondary),ton_zero,ton_zero: (strict-naive)@2000 - (strict-naive)@512,0.213,1.0,UNRESOLVED
SF5 method x size interaction (secondary),ps_full,ps_full: (atc-naive)@2000 - (atc-naive)@512,0.5115,1.0,UNRESOLVED
SF5 method x size interaction (secondary),unsw_full,unsw_full: (atc-naive)@2000 - (atc-naive)@512,-0.181,1.0,COMPATIBLE
SF5 method x size interaction (secondary),ton_full,ton_full: (atc-naive)@2000 - (atc-naive)@512,-0.1687,1.0,COMPATIBLE
SF5 method x size interaction (secondary),ps_zero,ps_zero: (atc-naive)@2000 - (atc-naive)@512,-0.6185,0.015749842501574983,MATERIAL COST
SF5 method x size interaction (secondary),unsw_zero,unsw_zero: (atc-naive)@2000 - (atc-naive)@512,-1.0435,0.00029999700002999975,MATERIAL COST
SF5 method x size interaction (secondary),ton_zero,ton_zero: (atc-naive)@2000 - (atc-naive)@512,0.2469,1.0,UNRESOLVED
SF5 method x size interaction (secondary),ps_full,ps_full: (doc-naive)@2000 - (doc-naive)@512,0.9401,0.6458035419645803,UNRESOLVED
SF5 method x size interaction (secondary),unsw_full,unsw_full: (doc-naive)@2000 - (doc-naive)@512,0.0247,1.0,COMPATIBLE
SF5 method x size interaction (secondary),ton_full,ton_full: (doc-naive)@2000 - (doc-naive)@512,-0.2125,1.0,COMPATIBLE
SF5 method x size interaction (secondary),ps_zero,ps_zero: (doc-naive)@2000 - (doc-naive)@512,-1.0219,0.015749842501574983,MATERIAL COST
SF5 method x size interaction (secondary),unsw_zero,unsw_zero: (doc-naive)@2000 - (doc-naive)@512,-1.212,0.00029999700002999975,MATERIAL COST
SF5 method x size interaction (secondary),ton_zero,ton_zero: (doc-naive)@2000 - (doc-naive)@512,0.2453,1.0,UNRESOLVED
SF5 method x size interaction (secondary),ps_full,ps_full: (enscal-naive)@2000 - (enscal-naive)@512,0.2966,1.0,UNRESOLVED
SF5 method x size interaction (secondary),unsw_full,unsw_full: (enscal-naive)@2000 - (enscal-naive)@512,-0.8294,0.00029999700002999975,MATERIAL COST
SF5 method x size interaction (secondary),ton_full,ton_full: (enscal-naive)@2000 - (enscal-naive)@512,-0.2094,0.04507954920450795,COMPATIBLE
SF5 method x size interaction (secondary),ps_zero,ps_zero: (enscal-naive)@2000 - (enscal-naive)@512,-0.4138,1.0,UNRESOLVED
SF5 method x size interaction (secondary),unsw_zero,unsw_zero: (enscal-naive)@2000 - (enscal-naive)@512,-0.974,0.00029999700002999975,MATERIAL COST
SF5 method x size interaction (secondary),ton_zero,ton_zero: (enscal-naive)@2000 - (enscal-naive)@512,0.3497,1.0,UNRESOLVED
