scenario,policy,cap,schedule,gain,lo,hi,naive_gain,e2_frac_naive,commits_total,proposals,commits_per_stream,e3_labels_per_commit,labels_probe_per_proposal,labels_probe_per_stream,e4_abstention,e5_delay_windows,n_commits_immediate,n_commits_deferred,e6_n_evaluable,e6_n_censored,e6_harmful_h5,e6_harmful_immediate,e6_harmful_deferred,e6_rate,e6_cp_lo,e6_cp_hi,e6_harmful_until_next,e6_n_eval_until_next,e6_mean_delta_h5
ton_full,vbccoh,64,bonf,0.0,0.0,0.0,-1.968,,0,209,0.0,,140.1,976.0,0.909,4.6,0,0,0,0,0,0,0,,,,0,0,
ton_full,vbccoh,64,pser,0.0,0.0,0.0,-1.968,,0,209,0.0,,139.9,974.9,0.909,4.59,0,0,0,0,0,0,0,,,,0,0,
ton_full,vbccoh,128,bonf,0.0,0.0,0.0,-1.968,,0,209,0.0,,203.1,1414.9,0.9,4.54,0,0,0,0,0,0,0,,,,0,0,
ton_full,vbccoh,128,pser,0.0,0.0,0.0,-1.968,,0,209,0.0,,203.0,1414.4,0.9,4.54,0,0,0,0,0,0,0,,,,0,0,
ton_full,vbccoh,256,bonf,0.055,0.0,0.165,-1.968,,1,208,0.03,67984.0,326.8,2266.1,0.841,4.29,0,1,1,0,0,0,0,0.0,0.0,0.975,0,1,0.1703
ton_full,vbccoh,256,pser,0.0,0.0,0.0,-1.968,,0,209,0.0,,327.2,2279.5,0.847,4.3,0,0,0,0,0,0,0,,,,0,0,
ton_full,vbccoh,512,bonf,0.244,0.0,0.68,-1.968,,2,205,0.07,59272.0,578.3,3951.5,0.79,4.0,2,0,2,0,0,0,0,0.0,0.0,0.842,0,2,0.0945
ton_full,vbccoh,512,pser,0.353,0.0,1.009,-1.968,,2,207,0.07,59920.0,578.9,3994.7,0.797,4.04,1,1,2,0,0,0,0,0.0,0.0,0.842,0,2,0.075
ton_full,vbccoh,1024,bonf,0.463,0.0,1.216,-1.968,,3,205,0.1,74186.7,1085.7,7418.7,0.751,3.76,3,0,2,1,0,0,0,0.0,0.0,0.842,0,3,0.0664
ton_full,vbccoh,1024,pser,0.457,0.0,1.216,-1.968,,2,205,0.07,111360.0,1086.4,7424.0,0.751,3.78,2,0,2,0,0,0,0,0.0,0.0,0.842,0,2,0.0664
ton_full,vbcref,64,bonf,0.0,0.0,0.0,-1.968,,0,209,0.0,,141.9,988.3,0.943,4.71,0,0,0,0,0,0,0,,,,0,0,
ton_full,vbcref,64,pser,0.0,0.0,0.0,-1.968,,0,209,0.0,,141.9,988.3,0.943,4.71,0,0,0,0,0,0,0,,,,0,0,
ton_full,vbcref,128,bonf,0.0,0.0,0.0,-1.968,,0,209,0.0,,203.2,1415.5,0.909,4.55,0,0,0,0,0,0,0,,,,0,0,
ton_full,vbcref,128,pser,0.0,0.0,0.0,-1.968,,0,209,0.0,,203.6,1418.1,0.914,4.57,0,0,0,0,0,0,0,,,,0,0,
ton_full,vbcref,256,bonf,0.0,0.0,0.0,-1.968,,0,209,0.0,,330.0,2299.2,0.895,4.47,0,0,0,0,0,0,0,,,,0,0,
ton_full,vbcref,256,pser,0.0,0.0,0.0,-1.968,,0,209,0.0,,329.6,2296.5,0.89,4.45,0,0,0,0,0,0,0,,,,0,0,
ton_full,vbcref,512,bonf,0.191,0.0,0.573,-1.968,,1,206,0.03,119680.0,581.0,3989.3,0.835,4.17,1,0,1,0,0,0,0,0.0,0.0,0.975,0,1,0.1156
ton_full,vbcref,512,pser,0.143,0.0,0.428,-1.968,,1,207,0.03,120432.0,581.8,4014.4,0.845,4.23,1,0,1,0,0,0,0,0.0,0.0,0.975,0,1,0.1562
ton_full,vbcref,1024,bonf,0.457,0.0,1.216,-1.968,,2,205,0.07,111448.0,1087.3,7429.9,0.766,3.83,2,0,2,0,0,0,0,0.0,0.0,0.842,0,2,0.0664
ton_full,vbcref,1024,pser,0.457,0.0,1.216,-1.968,,2,205,0.07,111552.0,1088.3,7436.8,0.776,3.88,2,0,2,0,0,0,0,0.0,0.0,0.842,0,2,0.0664
ton_zero,ebcsdef,64,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,134.9,409.1,0.791,4.33,0,0,0,0,0,0,0,,,,0,0,
ton_zero,ebcsdef,64,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,133.1,403.7,0.758,4.18,0,0,0,0,0,0,0,,,,0,0,
ton_zero,ebcsdef,128,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,191.5,580.8,0.758,3.91,0,0,0,0,0,0,0,,,,0,0,
ton_zero,ebcsdef,128,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,190.1,576.5,0.747,3.82,0,0,0,0,0,0,0,,,,0,0,
ton_zero,ebcsdef,256,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,317.7,963.7,0.736,3.8,0,0,0,0,0,0,0,,,,0,0,
ton_zero,ebcsdef,256,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,317.5,963.2,0.747,3.79,0,0,0,0,0,0,0,,,,0,0,
ton_zero,ebcsdef,512,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,571.8,1734.4,0.736,3.68,0,0,0,0,0,0,0,,,,0,0,
ton_zero,ebcsdef,512,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,570.9,1731.7,0.725,3.63,0,0,0,0,0,0,0,,,,0,0,
ton_zero,ebcsdef,1024,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,1081.7,3281.1,0.703,3.55,0,0,0,0,0,0,0,,,,0,0,
ton_zero,ebcsdef,1024,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,1078.5,3271.5,0.67,3.35,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbccoh,64,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,139.4,422.9,0.879,4.57,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbccoh,64,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,138.5,420.3,0.879,4.52,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbccoh,128,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,201.0,609.6,0.846,4.42,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbccoh,128,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,199.9,606.4,0.835,4.35,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbccoh,256,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,320.4,971.7,0.769,3.97,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbccoh,256,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,319.6,969.6,0.769,3.88,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbccoh,512,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,574.1,1741.3,0.747,3.82,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbccoh,512,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,572.7,1737.1,0.736,3.74,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbccoh,1024,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,1083.8,3287.5,0.736,3.68,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbccoh,1024,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,1083.8,3287.5,0.736,3.68,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbcref,64,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,142.8,433.1,0.956,4.78,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbcref,64,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,142.8,433.1,0.956,4.78,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbcref,128,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,202.4,613.9,0.901,4.51,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbcref,128,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,201.5,611.2,0.89,4.45,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbcref,256,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,328.6,996.8,0.879,4.4,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbcref,256,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,326.9,991.5,0.857,4.29,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbcref,512,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,574.4,1742.4,0.769,3.85,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbcref,512,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,574.4,1742.4,0.769,3.85,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbcref,1024,bonf,0.0,0.0,0.0,-5.351,,0,91,0.0,,1083.8,3287.5,0.736,3.68,0,0,0,0,0,0,0,,,,0,0,
ton_zero,vbcref,1024,pser,0.0,0.0,0.0,-5.351,,0,91,0.0,,1083.8,3287.5,0.736,3.68,0,0,0,0,0,0,0,,,,0,0,
