baseline,lambda_cost,gamma_cost,mean_utility_diff_qk_minus_baseline,ci95_low,ci95_high,prob_diff_gt_0,qk_better_ci95
MMD-RBF,0.25,0.0,0.7255208333333333,0.0762760416666667,1.5273502604166667,0.5333333333333333,True
QK-MMD PauliXZ,0.25,0.0,0.6434895833333333,-0.11380859374999999,1.6122395833333334,0.5,False
Energy distance,0.25,0.01,0.475201849568092,-0.13218650681788469,1.1415159686484764,0.5333333333333333,False
JSD,0.25,0.01,0.43139411356598933,-0.2240376441632348,1.3270028188413474,0.6333333333333333,False
KS-max,0.25,0.01,0.7774756706321687,-0.0016736533451591612,1.8755649288541674,0.6,False
MMD-RBF,0.25,0.01,0.6814140849322624,0.03212242066222817,1.4833513813295538,0.5333333333333333,True
QK-MMD PauliXZ,0.25,0.01,0.647162718099581,-0.11016918280079181,1.615959214185881,0.5,False
Energy distance,0.25,0.05,0.23538424784045972,-0.3725556713667661,0.9023124861930552,0.5,False
JSD,0.25,0.05,0.19030390116327892,-0.46417506067453373,1.0845621048400835,0.5666666666666667,False
KS-max,0.25,0.05,0.5436283531608447,-0.2345519504621579,1.64004918121496,0.4666666666666667,False
MMD-RBF,0.25,0.05,0.5049870913279785,-0.14374633194561945,1.3055599173542238,0.4666666666666667,False
QK-MMD PauliXZ,0.25,0.05,0.6618552571645705,-0.09577307441388731,1.6308377375960696,0.5,False
Energy distance,0.25,0.1,-0.06438775431908053,-0.6738815453892459,0.6014131990279514,0.36666666666666664,False
JSD,0.25,0.1,-0.11105886434010862,-0.7656366827795095,0.7814741166018351,0.26666666666666666,False
KS-max,0.25,0.1,0.2513192063216897,-0.525975929961666,1.34830727375583,0.3,False
MMD-RBF,0.25,0.1,0.2844533493226239,-0.364693111704352,1.0831484892037109,0.4666666666666667,False
QK-MMD PauliXZ,0.25,0.1,0.6802209309958075,-0.07774772100140864,1.6494299286840053,0.5,False
Energy distance,0.25,0.25,-0.9637037607977011,-1.5759205687293434,-0.29482954080755036,0.2,False
JSD,0.25,0.25,-1.0151471608502713,-1.6715908764499423,-0.12433321001604801,0.1,False
KS-max,0.25,0.25,-0.6256082341957759,-1.400953049011029,0.4743294555578413,0.16666666666666666,False
MMD-RBF,0.25,0.25,-0.3771478766934403,-1.027809951922342,0.42031090427076034,0.3333333333333333,False
QK-MMD PauliXZ,0.25,0.25,0.7353179524895191,-0.02457369621649073,1.705166713918151,0.5333333333333333,False
Energy distance,0.5,0.0,1.06015625,0.41560546875000004,1.759388020833333,0.7,True
JSD,0.5,0.0,0.6,-0.07475260416666665,1.50521484375,0.6333333333333333,False
KS-max,0.5,0.0,0.9109375,0.15207682291666666,1.9836458333333327,0.6333333333333333,True
MMD-RBF,0.5,0.0,0.9588541666666667,0.3075260416666667,1.7523502604166667,0.6,True
QK-MMD PauliXZ,0.5,0.0,0.6518229166666667,-0.11198567708333333,1.615657552083333,0.5333333333333333,False
Energy distance,0.5,0.01,1.000201849568092,0.35545690589121853,1.699921127895092,0.7,True
JSD,0.5,0.01,0.5397274468993225,-0.13530363114423796,1.4447779857118952,0.6333333333333333,False
KS-max,0.5,0.01,0.8524756706321687,0.09317428190512408,1.925459601365131,0.6,True
MMD-RBF,0.5,0.01,0.9147474182655958,0.26324257067795664,1.7074827386726419,0.6,True
QK-MMD PauliXZ,0.5,0.01,0.6554960514329143,-0.10830743935894291,1.6195249371403249,0.5333333333333333,False
Energy distance,0.5,0.05,0.7603842478404597,0.11556165641864931,1.4612454005724136,0.7,True
JSD,0.5,0.05,0.2986372344966122,-0.3761638511845282,1.2032518601079305,0.6,False
KS-max,0.5,0.05,0.6186283531608446,-0.14076806948866122,1.6927308099838065,0.6,False
MMD-RBF,0.5,0.05,0.7383204246613119,0.08665111421943578,1.531136346238481,0.5333333333333333,True
QK-MMD PauliXZ,0.5,0.05,0.6701885904979039,-0.09359448846138062,1.6349944773682894,0.5333333333333333,False
Energy distance,0.5,0.1,0.4606122456809194,-0.18678724142668457,1.1621225368090478,0.5333333333333333,False
JSD,0.5,0.1,-0.002725531006775217,-0.6764647160691285,0.9010349702158611,0.4,False
KS-max,0.5,0.1,0.3263192063216897,-0.432745066372338,1.400633464987079,0.3333333333333333,False
MMD-RBF,0.5,0.1,0.5177866826559572,-0.13262102584498142,1.309800209965256,0.5,False
QK-MMD PauliXZ,0.5,0.1,0.6885542643291409,-0.07601869795393829,1.6532489374485833,0.5333333333333333,False
Energy distance,0.5,0.25,-0.4387037607977012,-1.0897536952217828,0.26683600290773013,0.3333333333333333,False
JSD,0.5,0.25,-0.906813827516938,-1.5819821659320585,-0.004808063597423326,0.1,False
KS-max,0.5,0.25,-0.550608234195776,-1.3088314008300708,0.5258054635692432,0.16666666666666666,False
MMD-RBF,0.5,0.25,-0.14381454336010696,-0.7931245155849804,0.6465019555834924,0.4,False
QK-MMD PauliXZ,0.5,0.25,0.7436512858228526,-0.02084178788602003,1.7083881482818828,0.5666666666666667,False
Energy distance,1.0,0.0,2.11015625,1.3505143229166667,2.8846484375,0.9,True
JSD,1.0,0.0,0.8166666666666667,0.09504557291666667,1.76875,0.7,True
KS-max,1.0,0.0,1.0609375,0.31640625,2.0948046875,0.7,True
MMD-RBF,1.0,0.0,1.4255208333333333,0.746328125,2.21927734375,0.8,True
QK-MMD PauliXZ,1.0,0.0,0.6684895833333333,-0.11304036458333332,1.6429817708333332,0.5666666666666667,False
Energy distance,1.0,0.01,2.050201849568092,1.2901787955460788,2.8249132426326966,0.8666666666666667,True
JSD,1.0,0.01,0.7563941135659893,0.034949540091037075,1.7085616189462787,0.7,True
KS-max,1.0,0.01,1.002475670632169,0.25817030181255185,2.0365593025570834,0.6666666666666666,True
MMD-RBF,1.0,0.01,1.3814140849322625,0.7017903952930892,2.175140859280563,0.8,True
QK-MMD PauliXZ,1.0,0.01,0.672162718099581,-0.10955090727694257,1.6467428900712011,0.5666666666666667,False
Energy distance,1.0,0.05,1.8103842478404597,1.0489114082982074,2.5859889366462543,0.8666666666666667,True
JSD,1.0,0.05,0.5153039011632788,-0.20625742347336692,1.4663249877151583,0.6666666666666666,False
KS-max,1.0,0.05,0.7686283531608449,0.024371535244747028,1.8015174197630588,0.6666666666666666,True
MMD-RBF,1.0,0.05,1.2049870913279788,0.523657545886124,1.9974792602569649,0.7,True
QK-MMD PauliXZ,1.0,0.05,0.6868552571645705,-0.09559307805137826,1.6617873670226735,0.5666666666666667,False
Energy distance,1.0,0.1,1.51061224568092,0.7473662971859447,2.2872476115604408,0.8,True
JSD,1.0,0.1,0.21394113565989142,-0.5061709124347641,1.1641744364727915,0.4,False
KS-max,1.0,0.1,0.4763192063216896,-0.2686719223154846,1.509092157073222,0.5,False
MMD-RBF,1.0,0.1,0.984453349322624,0.3037073384134565,1.776198505578534,0.6333333333333333,True
QK-MMD PauliXZ,1.0,0.1,0.7052209309958075,-0.07810783114487019,1.6808433419010445,0.5666666666666667,False
Energy distance,1.0,0.25,0.6112962392022988,-0.1560210453464727,1.3918974199971854,0.5666666666666667,False
JSD,1.0,0.25,-0.6901471608502713,-1.4070376351250646,0.2587763447977583,0.13333333333333333,False
KS-max,1.0,0.25,-0.40060823419577596,-1.1462034798442375,0.6314152238152988,0.23333333333333334,False
MMD-RBF,1.0,0.25,0.3228521233065597,-0.35854887339293784,1.110808718577488,0.5,False
QK-MMD PauliXZ,1.0,0.25,0.7603179524895192,-0.02492769450788423,1.7394481896007832,0.6,False
Energy distance,2.0,0.0,4.21015625,3.16740234375,5.198450520833333,0.9666666666666667,True
JSD,2.0,0.0,1.25,0.3856705729166667,2.3107161458333327,0.7333333333333333,True
KS-max,2.0,0.0,1.3609375,0.5648111979166667,2.3455859375,0.7,True
MMD-RBF,2.0,0.0,2.3588541666666667,1.5439908854166666,3.237513020833333,0.8,True
QK-MMD PauliXZ,2.0,0.0,0.7018229166666666,-0.17292968749999998,1.7179947916666662,0.5666666666666667,False
Energy distance,2.0,0.01,4.150201849568092,3.106775327511362,5.138724199513435,0.9666666666666667,True
JSD,2.0,0.01,1.1897274468993224,0.32505622193513545,2.250118466784681,0.7333333333333333,True
KS-max,2.0,0.01,1.302475670632169,0.5062568290515279,2.287423369890367,0.6666666666666666,True
MMD-RBF,2.0,0.01,2.3147474182655956,1.4994877180053336,3.1939471771509482,0.8,True
QK-MMD PauliXZ,2.0,0.01,0.7054960514329143,-0.1692524354792976,1.7215200863331448,0.5666666666666667,False
Energy distance,2.0,0.05,3.91038424784046,2.865580089101258,4.898956092383999,0.9333333333333333,True
JSD,2.0,0.05,0.9486372344966123,0.08343095590031091,2.009584322506465,0.7,True
KS-max,2.0,0.05,1.0686283531608451,0.27206956958681017,2.0532796350059406,0.6666666666666666,True
MMD-RBF,2.0,0.05,2.1383204246613117,1.3214750483600026,3.017819836776291,0.7666666666666667,True
QK-MMD PauliXZ,2.0,0.05,0.7201885904979038,-0.15454342739648794,1.7358525219940155,0.5666666666666667,False
Energy distance,2.0,0.1,3.61061224568092,2.5633889075485357,4.599410994659381,0.9333333333333333,True
JSD,2.0,0.1,0.6472744689932248,-0.21845868442903163,1.70756021804543,0.5333333333333333,False
KS-max,2.0,0.1,0.7763192063216896,-0.019668855297903153,1.7609853000919296,0.5333333333333333,False
MMD-RBF,2.0,0.1,1.9177866826559573,1.1018307451087552,2.796624266588566,0.7666666666666667,True
QK-MMD PauliXZ,2.0,0.1,0.7385542643291411,-0.13625891894176792,1.7540933989867136,0.5666666666666667,False
Energy distance,2.0,0.25,2.711296239202299,1.6591706512978512,3.702798675101027,0.8666666666666667,True
JSD,2.0,0.25,-0.25681382751693793,-1.123564218014823,0.8065971406159224,0.36666666666666664,False
KS-max,2.0,0.25,-0.10060823419577597,-0.9003223084471635,0.8868370062198658,0.4666666666666667,False
MMD-RBF,2.0,0.25,1.2561854566398931,0.44059910928520063,2.1316909363313603,0.7666666666666667,True
QK-MMD PauliXZ,2.0,0.25,0.7936512858228525,-0.08245382424099562,1.8083871217630068,0.6,False
