regime,dataset,seed,best_detector,base_BA_pct,gain_pts
CICIDS PortScan,cicids,27,qk_mmd_zz,82.7344,11.2734
CICIDS PortScan,cicids,28,qk_mmd_zz,84.0078,10.0156
CICIDS PortScan,cicids,29,qk_mmd_zz,84.9375,8.4609
CICIDS PortScan,cicids,30,qk_mmd_zz,94.875,-0.5859
CICIDS WebAttacks,cicids,1,qk_mmd_pauli_xz,72.0547,16.9453
CICIDS WebAttacks,cicids,2,qk_mmd_pauli_xz,93.9531,-1.1016
CICIDS WebAttacks,cicids,3,qk_mmd_pauli_xz,73.3438,16.8906
CICIDS WebAttacks,cicids,4,qk_mmd_pauli_xz,72.8672,18.5859
CICIDS WebAttacks,cicids,5,qk_mmd_pauli_xz,92.9766,0.5469
CICIDS WebAttacks,cicids,6,qk_mmd_pauli_xz,92.6875,0.4844
CICIDS WebAttacks,cicids,7,qk_mmd_pauli_xz,72.8594,19.5078
CICIDS WebAttacks,cicids,8,qk_mmd_pauli_xz,93.9922,0.625
CICIDS WebAttacks,cicids,9,qk_mmd_pauli_xz,94.3984,-0.2109
CICIDS WebAttacks,cicids,10,qk_mmd_pauli_xz,72.7188,21.2187
CICIDS WebAttacks,cicids,11,qk_mmd_pauli_xz,92.5625,-0.2031
CICIDS WebAttacks,cicids,12,qk_mmd_pauli_xz,94.1172,-1.2969
CICIDS WebAttacks,cicids,13,qk_mmd_pauli_xz,73.6016,19.2813
CICIDS WebAttacks,cicids,14,qk_mmd_pauli_xz,71.6328,20.4922
CICIDS WebAttacks,cicids,15,qk_mmd_pauli_xz,88.9219,2.3359
CICIDS WebAttacks,cicids,16,qk_mmd_pauli_xz,91.8438,-1.2656
CICIDS WebAttacks,cicids,17,qk_mmd_pauli_xz,94.0234,-2.0781
CICIDS WebAttacks,cicids,18,qk_mmd_pauli_xz,73.4844,17.5156
CICIDS WebAttacks,cicids,19,qk_mmd_pauli_xz,93.3047,-2.1172
CICIDS WebAttacks,cicids,20,qk_mmd_pauli_xz,73.0,18.5312
CICIDS WebAttacks,cicids,21,qk_mmd_pauli_xz,93.9922,-0.5078
CICIDS WebAttacks,cicids,22,qk_mmd_pauli_xz,72.1406,18.9531
CICIDS WebAttacks,cicids,23,qk_mmd_pauli_xz,72.3594,19.9062
CICIDS WebAttacks,cicids,24,qk_mmd_pauli_xz,94.0156,-1.1875
CICIDS WebAttacks,cicids,25,qk_mmd_pauli_xz,71.7031,19.0312
CICIDS WebAttacks,cicids,26,qk_mmd_pauli_xz,92.0781,-1.4687
CICIDS WebAttacks,cicids,27,qk_mmd_pauli_xz,93.6484,-0.8984
CICIDS WebAttacks,cicids,28,qk_mmd_pauli_xz,73.3984,19.4453
CICIDS WebAttacks,cicids,29,qk_mmd_pauli_xz,93.2188,-7.4375
CICIDS WebAttacks,cicids,30,qk_mmd_pauli_xz,92.9766,-1.0703
UNSW-NB15 DoS,unsw,1,ks_max,83.7812,0.8828
UNSW-NB15 DoS,unsw,2,ks_max,83.1484,3.1875
UNSW-NB15 DoS,unsw,3,ks_max,83.1719,2.0234
UNSW-NB15 DoS,unsw,4,ks_max,84.3984,1.4375
UNSW-NB15 DoS,unsw,5,ks_max,84.9297,0.5313
UNSW-NB15 DoS,unsw,6,ks_max,83.5547,2.7891
UNSW-NB15 DoS,unsw,7,ks_max,84.625,-0.9844
UNSW-NB15 DoS,unsw,8,ks_max,84.5469,1.6953
UNSW-NB15 DoS,unsw,9,ks_max,84.2266,1.0781
UNSW-NB15 DoS,unsw,10,ks_max,83.6719,1.2578
UNSW-NB15 DoS,unsw,11,ks_max,83.7656,1.7188
UNSW-NB15 DoS,unsw,12,ks_max,83.6484,3.1953
UNSW-NB15 DoS,unsw,13,ks_max,84.2188,2.125
UNSW-NB15 DoS,unsw,14,ks_max,85.2344,0.2266
UNSW-NB15 DoS,unsw,15,ks_max,83.2188,1.1406
UNSW-NB15 DoS,unsw,16,ks_max,83.6484,0.9375
UNSW-NB15 DoS,unsw,17,ks_max,83.7891,1.4062
UNSW-NB15 DoS,unsw,18,ks_max,83.0234,2.6016
UNSW-NB15 DoS,unsw,19,ks_max,83.0625,3.1563
UNSW-NB15 DoS,unsw,20,ks_max,83.3516,1.6719
UNSW-NB15 DoS,unsw,21,ks_max,83.1406,0.0703
UNSW-NB15 DoS,unsw,22,ks_max,82.9766,2.0078
UNSW-NB15 DoS,unsw,23,ks_max,83.0859,1.7813
UNSW-NB15 DoS,unsw,24,ks_max,84.2422,0.875
UNSW-NB15 DoS,unsw,25,ks_max,83.6562,-0.4922
UNSW-NB15 DoS,unsw,26,ks_max,83.125,2.0078
UNSW-NB15 DoS,unsw,27,ks_max,83.0469,1.4766
UNSW-NB15 DoS,unsw,28,ks_max,83.2891,1.2344
UNSW-NB15 DoS,unsw,29,ks_max,82.9609,1.2344
UNSW-NB15 DoS,unsw,30,ks_max,83.8906,1.3047
UNSW-NB15 Reconnaissance,unsw,1,qk_mmd_zz,84.7812,-0.0391
UNSW-NB15 Reconnaissance,unsw,2,qk_mmd_zz,83.5,1.1797
UNSW-NB15 Reconnaissance,unsw,3,qk_mmd_zz,83.3828,1.2734
UNSW-NB15 Reconnaissance,unsw,4,qk_mmd_zz,84.2266,0.8984
UNSW-NB15 Reconnaissance,unsw,5,qk_mmd_zz,85.2031,0.2969
UNSW-NB15 Reconnaissance,unsw,6,qk_mmd_zz,84.9375,-0.5312
UNSW-NB15 Reconnaissance,unsw,7,qk_mmd_zz,84.5391,0.6719
UNSW-NB15 Reconnaissance,unsw,8,qk_mmd_zz,85.2188,-0.0234
UNSW-NB15 Reconnaissance,unsw,9,qk_mmd_zz,85.1875,-0.4375
UNSW-NB15 Reconnaissance,unsw,10,qk_mmd_zz,85.0469,0.1484
UNSW-NB15 Reconnaissance,unsw,11,qk_mmd_zz,84.5078,-0.0313
UNSW-NB15 Reconnaissance,unsw,12,qk_mmd_zz,83.7344,2.1172
UNSW-NB15 Reconnaissance,unsw,13,qk_mmd_zz,84.6484,0.7891
UNSW-NB15 Reconnaissance,unsw,14,qk_mmd_zz,86.1094,-0.1328
UNSW-NB15 Reconnaissance,unsw,15,qk_mmd_zz,84.1016,0.7812
UNSW-NB15 Reconnaissance,unsw,16,qk_mmd_zz,84.1094,0.1641
UNSW-NB15 Reconnaissance,unsw,17,qk_mmd_zz,84.0391,0.6328
UNSW-NB15 Reconnaissance,unsw,18,qk_mmd_zz,84.1719,0.3594
UNSW-NB15 Reconnaissance,unsw,19,qk_mmd_zz,84.6797,0.0938
UNSW-NB15 Reconnaissance,unsw,20,qk_mmd_zz,83.8203,0.5547
