method,window_idx,severity_t,balanced_accuracy_mean,gain_vs_no_adapt_mean,alarm_rate,trigger_rate,method_label
mmd_rbf,48,0.6125,0.8544270833333333,0.13229166666666667,0.23333333333333334,0.1,MMD-RBF
mmd_rbf,49,0.625,0.85625,0.13229166666666667,0.36666666666666664,0.0,MMD-RBF
mmd_rbf,50,0.6375,0.8596354166666667,0.14453125,0.23333333333333334,0.0,MMD-RBF
mmd_rbf,51,0.65,0.8583333333333333,0.15182291666666667,0.4,0.06666666666666667,MMD-RBF
mmd_rbf,52,0.6625,0.8630208333333333,0.15807291666666667,0.26666666666666666,0.0,MMD-RBF
mmd_rbf,53,0.675,0.86875,0.15677083333333333,0.3,0.1,MMD-RBF
mmd_rbf,54,0.6875,0.8489583333333334,0.15,0.3,0.0,MMD-RBF
mmd_rbf,55,0.7,0.86953125,0.17786458333333333,0.36666666666666664,0.06666666666666667,MMD-RBF
mmd_rbf,56,0.7125,0.87890625,0.18619791666666666,0.3333333333333333,0.1,MMD-RBF
mmd_rbf,57,0.725,0.8830729166666667,0.20625,0.36666666666666664,0.06666666666666667,MMD-RBF
mmd_rbf,58,0.7375,0.8768229166666667,0.1984375,0.4,0.0,MMD-RBF
mmd_rbf,59,0.75,0.8755208333333333,0.19192708333333333,0.36666666666666664,0.16666666666666666,MMD-RBF
mmd_rbf,60,0.7625,0.8833333333333333,0.21119791666666668,0.3333333333333333,0.06666666666666667,MMD-RBF
mmd_rbf,61,0.775,0.8841145833333334,0.215625,0.3,0.0,MMD-RBF
mmd_rbf,62,0.7875,0.87890625,0.2140625,0.3,0.13333333333333333,MMD-RBF
mmd_rbf,63,0.8,0.8807291666666667,0.22552083333333334,0.3,0.0,MMD-RBF
mmd_rbf,64,0.8125,0.88125,0.23072916666666668,0.3,0.03333333333333333,MMD-RBF
mmd_rbf,65,0.825,0.8859375,0.2375,0.4,0.03333333333333333,MMD-RBF
mmd_rbf,66,0.8375,0.8864583333333333,0.25364583333333335,0.5,0.06666666666666667,MMD-RBF
mmd_rbf,67,0.85,0.8875,0.2565104166666667,0.36666666666666664,0.16666666666666666,MMD-RBF
mmd_rbf,68,0.8625,0.8838541666666667,0.24401041666666667,0.23333333333333334,0.06666666666666667,MMD-RBF
mmd_rbf,69,0.875,0.8846354166666667,0.2604166666666667,0.3333333333333333,0.03333333333333333,MMD-RBF
mmd_rbf,70,0.8875,0.8815104166666666,0.2630208333333333,0.3333333333333333,0.06666666666666667,MMD-RBF
mmd_rbf,71,0.9,0.8848958333333333,0.2703125,0.2,0.03333333333333333,MMD-RBF
mmd_rbf,72,0.9125,0.8825520833333333,0.27395833333333336,0.26666666666666666,0.0,MMD-RBF
mmd_rbf,73,0.925,0.8815104166666666,0.26510416666666664,0.3,0.06666666666666667,MMD-RBF
mmd_rbf,74,0.9375,0.8885416666666667,0.2955729166666667,0.2,0.0,MMD-RBF
mmd_rbf,75,0.95,0.8890625,0.29583333333333334,0.26666666666666666,0.0,MMD-RBF
mmd_rbf,76,0.9625,0.8856770833333333,0.29010416666666666,0.4,0.03333333333333333,MMD-RBF
mmd_rbf,77,0.975,0.8893229166666666,0.2981770833333333,0.26666666666666666,0.1,MMD-RBF
mmd_rbf,78,0.9875,0.8947916666666667,0.29609375,0.4,0.03333333333333333,MMD-RBF
mmd_rbf,79,1.0,0.88828125,0.3015625,0.36666666666666664,0.03333333333333333,MMD-RBF
mmd_rbf,80,1.0,0.8924479166666667,0.31197916666666664,0.43333333333333335,0.16666666666666666,MMD-RBF
mmd_rbf,81,1.0,0.884375,0.31666666666666665,0.3333333333333333,0.03333333333333333,MMD-RBF
mmd_rbf,82,1.0,0.8885416666666667,0.30963541666666666,0.16666666666666666,0.06666666666666667,MMD-RBF
mmd_rbf,83,1.0,0.878125,0.30859375,0.2,0.0,MMD-RBF
mmd_rbf,84,1.0,0.8833333333333333,0.3065104166666667,0.23333333333333334,0.0,MMD-RBF
mmd_rbf,85,1.0,0.8854166666666666,0.30234375,0.23333333333333334,0.03333333333333333,MMD-RBF
mmd_rbf,86,1.0,0.8705729166666667,0.28958333333333336,0.3,0.03333333333333333,MMD-RBF
mmd_rbf,87,1.0,0.8817708333333333,0.28958333333333336,0.16666666666666666,0.03333333333333333,MMD-RBF
mmd_rbf,88,1.0,0.87265625,0.28411458333333334,0.23333333333333334,0.0,MMD-RBF
mmd_rbf,89,1.0,0.875,0.29765625,0.2,0.06666666666666667,MMD-RBF
mmd_rbf,90,1.0,0.8677083333333333,0.28671875,0.13333333333333333,0.03333333333333333,MMD-RBF
mmd_rbf,91,1.0,0.8630208333333333,0.2833333333333333,0.13333333333333333,0.0,MMD-RBF
mmd_rbf,92,1.0,0.87265625,0.303125,0.1,0.03333333333333333,MMD-RBF
mmd_rbf,93,1.0,0.8703125,0.29453125,0.2,0.0,MMD-RBF
mmd_rbf,94,1.0,0.8744791666666667,0.28671875,0.13333333333333333,0.0,MMD-RBF
mmd_rbf,95,1.0,0.8583333333333333,0.27369791666666665,0.23333333333333334,0.06666666666666667,MMD-RBF
mmd_rbf,96,1.0,0.8635416666666667,0.2791666666666667,0.06666666666666667,0.0,MMD-RBF
mmd_rbf,97,1.0,0.8572916666666667,0.28020833333333334,0.06666666666666667,0.0,MMD-RBF
mmd_rbf,98,1.0,0.8611979166666667,0.2877604166666667,0.1,0.0,MMD-RBF
mmd_rbf,99,1.0,0.8541666666666666,0.2682291666666667,0.13333333333333333,0.0,MMD-RBF
no_adaptation,0,0.0125,0.9450520833333333,0.0,,,No adaptation
no_adaptation,1,0.025,0.9424479166666667,0.0,,,No adaptation
no_adaptation,2,0.0375,0.9388020833333334,0.0,,,No adaptation
no_adaptation,3,0.05,0.93828125,0.0,,,No adaptation
no_adaptation,4,0.0625,0.9286458333333333,0.0,,,No adaptation
no_adaptation,5,0.075,0.9205729166666666,0.0,,,No adaptation
no_adaptation,6,0.0875,0.9192708333333334,0.0,,,No adaptation
no_adaptation,7,0.1,0.91640625,0.0,,,No adaptation
no_adaptation,8,0.1125,0.9171875,0.0,,,No adaptation
no_adaptation,9,0.125,0.9046875,0.0,,,No adaptation
no_adaptation,10,0.1375,0.9,0.0,,,No adaptation
no_adaptation,11,0.15,0.8916666666666667,0.0,,,No adaptation
no_adaptation,12,0.1625,0.8890625,0.0,,,No adaptation
no_adaptation,13,0.175,0.88359375,0.0,,,No adaptation
no_adaptation,14,0.1875,0.88359375,0.0,,,No adaptation
no_adaptation,15,0.2,0.8778645833333333,0.0,,,No adaptation
no_adaptation,16,0.2125,0.8684895833333334,0.0,,,No adaptation
no_adaptation,17,0.225,0.87890625,0.0,,,No adaptation
no_adaptation,18,0.2375,0.8625,0.0,,,No adaptation
no_adaptation,19,0.25,0.86171875,0.0,,,No adaptation
no_adaptation,20,0.2625,0.8533854166666667,0.0,,,No adaptation
no_adaptation,21,0.275,0.8497395833333333,0.0,,,No adaptation
no_adaptation,22,0.2875,0.8565104166666667,0.0,,,No adaptation
no_adaptation,23,0.3,0.8403645833333333,0.0,,,No adaptation
no_adaptation,24,0.3125,0.83125,0.0,,,No adaptation
no_adaptation,25,0.325,0.82421875,0.0,,,No adaptation
no_adaptation,26,0.3375,0.8171875,0.0,,,No adaptation
no_adaptation,27,0.35,0.8216145833333334,0.0,,,No adaptation
no_adaptation,28,0.3625,0.82578125,0.0,,,No adaptation
no_adaptation,29,0.375,0.8083333333333333,0.0,,,No adaptation
no_adaptation,30,0.3875,0.79921875,0.0,,,No adaptation
no_adaptation,31,0.4,0.8059895833333334,0.0,,,No adaptation
no_adaptation,32,0.4125,0.8015625,0.0,,,No adaptation
no_adaptation,33,0.425,0.7963541666666667,0.0,,,No adaptation
no_adaptation,34,0.4375,0.7916666666666666,0.0,,,No adaptation
no_adaptation,35,0.45,0.7895833333333333,0.0,,,No adaptation
no_adaptation,36,0.4625,0.7838541666666666,0.0,,,No adaptation
no_adaptation,37,0.475,0.7838541666666666,0.0,,,No adaptation
no_adaptation,38,0.4875,0.7697916666666667,0.0,,,No adaptation
no_adaptation,39,0.5,0.7622395833333333,0.0,,,No adaptation
no_adaptation,40,0.5125,0.7520833333333333,0.0,,,No adaptation
no_adaptation,41,0.525,0.7572916666666667,0.0,,,No adaptation
no_adaptation,42,0.5375,0.7489583333333333,0.0,,,No adaptation
no_adaptation,43,0.55,0.74765625,0.0,,,No adaptation
no_adaptation,44,0.5625,0.74375,0.0,,,No adaptation
no_adaptation,45,0.575,0.7424479166666667,0.0,,,No adaptation
no_adaptation,46,0.5875,0.7333333333333333,0.0,,,No adaptation
no_adaptation,47,0.6,0.73515625,0.0,,,No adaptation
