scenario,method_a,method_b,metric,n_pairs,mean_diff_a_minus_b,ci95_low,ci95_high,prob_diff_gt_0,positive_means,ci_excludes_zero_positive
DDoS,QK-MMD ZZ,MMD-RBF,mean_balanced_accuracy,30,0.007776041666666674,0.00041380208333333427,0.015471614583333333,0.7333333333333333,QK-MMD ZZ better accuracy,True
DDoS,MMD-RBF,QK-MMD ZZ,cumulative_error_area,30,0.7776041666666667,0.041380208333333356,1.5471614583333329,0.7333333333333333,QK-MMD ZZ lower degradation,True
DDoS,QK-MMD ZZ,MMD-RBF,cumulative_gain_vs_no_adapt,30,0.7776041666666667,0.041380208333333356,1.5471614583333329,0.7333333333333333,QK-MMD ZZ higher gain,True
DDoS,MMD-RBF,QK-MMD ZZ,n_adaptations,30,0.7666666666666667,0.5333333333333333,1.0,0.7,QK-MMD ZZ fewer readaptations,True
DDoS,QK-MMD ZZ,MMD-RBF,adaptation_efficiency,30,1.1442447916666667,0.8030460069444445,1.485300998263889,0.9333333333333333,QK-MMD ZZ better adaptation efficiency,True
DDoS,QK-MMD ZZ,MMD-RBF,detector_runtime_sec_total,30,4.213439286779613,4.142675232465263,4.283497449441735,1.0,QK-MMD ZZ more expensive,True
DDoS,QK-MMD ZZ,QK-MMD PauliXZ,mean_balanced_accuracy,30,0.004835937500000002,-0.0022110677083333353,0.012536523437500006,0.6333333333333333,QK-MMD ZZ better accuracy,False
DDoS,QK-MMD PauliXZ,QK-MMD ZZ,cumulative_error_area,30,0.48359375,-0.22110677083333333,1.25365234375,0.6333333333333333,QK-MMD ZZ lower degradation,False
DDoS,QK-MMD ZZ,QK-MMD PauliXZ,cumulative_gain_vs_no_adapt,30,0.48359375,-0.22110677083333333,1.25365234375,0.6333333333333333,QK-MMD ZZ higher gain,False
DDoS,QK-MMD PauliXZ,QK-MMD ZZ,n_adaptations,30,-0.06666666666666667,-0.3333333333333333,0.2,0.26666666666666666,QK-MMD ZZ fewer readaptations,False
DDoS,QK-MMD ZZ,QK-MMD PauliXZ,adaptation_efficiency,30,0.06813368055555553,-0.3743883463541667,0.5096540798611107,0.5333333333333333,QK-MMD ZZ better adaptation efficiency,False
DDoS,QK-MMD ZZ,QK-MMD PauliXZ,detector_runtime_sec_total,30,-0.44130777651056025,-0.4759539700693372,-0.4078671663855009,0.0,QK-MMD ZZ more expensive,False
