contrast,margin_pp,margin_kind,ci90_lo,ci90_hi,equivalent
unsw_full: doc-2000 vs naive-2000,1.0,sensitivity,-0.8057,-0.3737,True
ton_full: doc-2000 vs naive-2000,0.5,primary,0.0326,0.4247,True
ton_full: doc-2000 vs naive-2000,0.2,sensitivity,0.0326,0.4247,False
ton_full: doc-2000 vs naive-2000,1.0,sensitivity,0.0326,0.4247,True
ps_zero: enscal-2000 vs naive-2000,0.5,primary,1.2867,1.644,False
ps_zero: enscal-2000 vs naive-2000,0.2,sensitivity,1.2867,1.644,False
ps_zero: enscal-2000 vs naive-2000,1.0,sensitivity,1.2867,1.644,False
unsw_zero: enscal-2000 vs naive-2000,0.5,primary,0.013,0.0919,True
unsw_zero: enscal-2000 vs naive-2000,0.2,sensitivity,0.013,0.0919,True
unsw_zero: enscal-2000 vs naive-2000,1.0,sensitivity,0.013,0.0919,True
ton_zero: enscal-2000 vs naive-2000,0.5,primary,-0.0096,0.0508,True
ton_zero: enscal-2000 vs naive-2000,0.2,sensitivity,-0.0096,0.0508,True
ton_zero: enscal-2000 vs naive-2000,1.0,sensitivity,-0.0096,0.0508,True
ps_full: enscal-2000 vs naive-2000,0.5,primary,-0.4052,0.2172,True
ps_full: enscal-2000 vs naive-2000,0.2,sensitivity,-0.4052,0.2172,False
ps_full: enscal-2000 vs naive-2000,1.0,sensitivity,-0.4052,0.2172,True
unsw_full: enscal-2000 vs naive-2000,0.5,primary,-0.4766,-0.3667,True
unsw_full: enscal-2000 vs naive-2000,0.2,sensitivity,-0.4766,-0.3667,False
unsw_full: enscal-2000 vs naive-2000,1.0,sensitivity,-0.4766,-0.3667,True
ton_full: enscal-2000 vs naive-2000,0.5,primary,-0.4599,0.0073,True
ton_full: enscal-2000 vs naive-2000,0.2,sensitivity,-0.4599,0.0073,False
ton_full: enscal-2000 vs naive-2000,1.0,sensitivity,-0.4599,0.0073,True
ps_zero: replay-2000 vs naive-2000,0.5,primary,0.0094,0.319,True
ps_zero: replay-2000 vs naive-2000,0.2,sensitivity,0.0094,0.319,False
ps_zero: replay-2000 vs naive-2000,1.0,sensitivity,0.0094,0.319,True
unsw_zero: replay-2000 vs naive-2000,0.5,primary,-0.0742,0.0328,True
unsw_zero: replay-2000 vs naive-2000,0.2,sensitivity,-0.0742,0.0328,True
unsw_zero: replay-2000 vs naive-2000,1.0,sensitivity,-0.0742,0.0328,True
ton_zero: replay-2000 vs naive-2000,0.5,primary,-0.0534,0.0203,True
ton_zero: replay-2000 vs naive-2000,0.2,sensitivity,-0.0534,0.0203,True
ton_zero: replay-2000 vs naive-2000,1.0,sensitivity,-0.0534,0.0203,True
ps_full: replay-2000 vs naive-2000,0.5,primary,-1.1687,-0.6138,False
ps_full: replay-2000 vs naive-2000,0.2,sensitivity,-1.1687,-0.6138,False
ps_full: replay-2000 vs naive-2000,1.0,sensitivity,-1.1687,-0.6138,False
unsw_full: replay-2000 vs naive-2000,0.5,primary,-2.2065,-1.9286,False
unsw_full: replay-2000 vs naive-2000,0.2,sensitivity,-2.2065,-1.9286,False
unsw_full: replay-2000 vs naive-2000,1.0,sensitivity,-2.2065,-1.9286,False
ton_full: replay-2000 vs naive-2000,0.5,primary,-1.4435,-0.9995,False
ton_full: replay-2000 vs naive-2000,0.2,sensitivity,-1.4435,-0.9995,False
ton_full: replay-2000 vs naive-2000,1.0,sensitivity,-1.4435,-0.9995,False
ps_zero: ddm-2000 vs naive-2000,0.5,primary,-0.388,0.6549,False
ps_zero: ddm-2000 vs naive-2000,0.2,sensitivity,-0.388,0.6549,False
ps_zero: ddm-2000 vs naive-2000,1.0,sensitivity,-0.388,0.6549,True
unsw_zero: ddm-2000 vs naive-2000,0.5,primary,-0.1339,-0.0094,True
unsw_zero: ddm-2000 vs naive-2000,0.2,sensitivity,-0.1339,-0.0094,True
unsw_zero: ddm-2000 vs naive-2000,1.0,sensitivity,-0.1339,-0.0094,True
ton_zero: ddm-2000 vs naive-2000,0.5,primary,-0.2174,0.0146,True
ton_zero: ddm-2000 vs naive-2000,0.2,sensitivity,-0.2174,0.0146,False
ton_zero: ddm-2000 vs naive-2000,1.0,sensitivity,-0.2174,0.0146,True
ps_full: ddm-2000 vs naive-2000,0.5,primary,-1.2339,-0.3451,False
ps_full: ddm-2000 vs naive-2000,0.2,sensitivity,-1.2339,-0.3451,False
ps_full: ddm-2000 vs naive-2000,1.0,sensitivity,-1.2339,-0.3451,False
unsw_full: ddm-2000 vs naive-2000,0.5,primary,-3.1331,-2.2081,False
unsw_full: ddm-2000 vs naive-2000,0.2,sensitivity,-3.1331,-2.2081,False
unsw_full: ddm-2000 vs naive-2000,1.0,sensitivity,-3.1331,-2.2081,False
ton_full: ddm-2000 vs naive-2000,0.5,primary,-2.1935,-1.4341,False
ton_full: ddm-2000 vs naive-2000,0.2,sensitivity,-2.1935,-1.4341,False
ton_full: ddm-2000 vs naive-2000,1.0,sensitivity,-2.1935,-1.4341,False
ps_zero: adwin-2000 vs naive-2000,0.5,primary,-0.8646,0.2742,False
ps_zero: adwin-2000 vs naive-2000,0.2,sensitivity,-0.8646,0.2742,False
ps_zero: adwin-2000 vs naive-2000,1.0,sensitivity,-0.8646,0.2742,True
unsw_zero: adwin-2000 vs naive-2000,0.5,primary,-0.1266,-0.0159,True
unsw_zero: adwin-2000 vs naive-2000,0.2,sensitivity,-0.1266,-0.0159,True
unsw_zero: adwin-2000 vs naive-2000,1.0,sensitivity,-0.1266,-0.0159,True
ton_zero: adwin-2000 vs naive-2000,0.5,primary,-0.0708,0.0255,True
ton_zero: adwin-2000 vs naive-2000,0.2,sensitivity,-0.0708,0.0255,True
ton_zero: adwin-2000 vs naive-2000,1.0,sensitivity,-0.0708,0.0255,True
ps_full: adwin-2000 vs naive-2000,0.5,primary,-10.3737,-7.0656,False
ps_full: adwin-2000 vs naive-2000,0.2,sensitivity,-10.3737,-7.0656,False
ps_full: adwin-2000 vs naive-2000,1.0,sensitivity,-10.3737,-7.0656,False
unsw_full: adwin-2000 vs naive-2000,0.5,primary,-4.2182,-3.8935,False
unsw_full: adwin-2000 vs naive-2000,0.2,sensitivity,-4.2182,-3.8935,False
unsw_full: adwin-2000 vs naive-2000,1.0,sensitivity,-4.2182,-3.8935,False
ton_full: adwin-2000 vs naive-2000,0.5,primary,-2.9164,-2.0969,False
ton_full: adwin-2000 vs naive-2000,0.2,sensitivity,-2.9164,-2.0969,False
ton_full: adwin-2000 vs naive-2000,1.0,sensitivity,-2.9164,-2.0969,False
ps_full: atc-2000 vs point-2000,0.5,primary,-1.2742,-0.2628,False
ps_full: atc-2000 vs point-2000,0.2,sensitivity,-1.2742,-0.2628,False
ps_full: atc-2000 vs point-2000,1.0,sensitivity,-1.2742,-0.2628,False
unsw_full: atc-2000 vs point-2000,0.5,primary,-0.3594,-0.0784,True
unsw_full: atc-2000 vs point-2000,0.2,sensitivity,-0.3594,-0.0784,False
unsw_full: atc-2000 vs point-2000,1.0,sensitivity,-0.3594,-0.0784,True
ton_full: atc-2000 vs point-2000,0.5,primary,-0.3187,0.087,True
ton_full: atc-2000 vs point-2000,0.2,sensitivity,-0.3187,0.087,False
ton_full: atc-2000 vs point-2000,1.0,sensitivity,-0.3187,0.087,True
ps_zero: atc-2000 vs point-2000,0.5,primary,-0.0435,0.1086,True
ps_zero: atc-2000 vs point-2000,0.2,sensitivity,-0.0435,0.1086,True
ps_zero: atc-2000 vs point-2000,1.0,sensitivity,-0.0435,0.1086,True
unsw_zero: atc-2000 vs point-2000,0.5,primary,-0.0909,-0.0169,True
unsw_zero: atc-2000 vs point-2000,0.2,sensitivity,-0.0909,-0.0169,True
unsw_zero: atc-2000 vs point-2000,1.0,sensitivity,-0.0909,-0.0169,True
ton_zero: atc-2000 vs point-2000,0.5,primary,-0.0406,0.0133,True
ton_zero: atc-2000 vs point-2000,0.2,sensitivity,-0.0406,0.0133,True
ton_zero: atc-2000 vs point-2000,1.0,sensitivity,-0.0406,0.0133,True
ps_full: doc-2000 vs point-2000,0.5,primary,-3.95,-1.4747,False
ps_full: doc-2000 vs point-2000,0.2,sensitivity,-3.95,-1.4747,False
ps_full: doc-2000 vs point-2000,1.0,sensitivity,-3.95,-1.4747,False
unsw_full: doc-2000 vs point-2000,0.5,primary,-0.8052,-0.3648,False
unsw_full: doc-2000 vs point-2000,0.2,sensitivity,-0.8052,-0.3648,False
unsw_full: doc-2000 vs point-2000,1.0,sensitivity,-0.8052,-0.3648,True
ton_full: doc-2000 vs point-2000,0.5,primary,-0.0042,0.0354,True
ton_full: doc-2000 vs point-2000,0.2,sensitivity,-0.0042,0.0354,True
ton_full: doc-2000 vs point-2000,1.0,sensitivity,-0.0042,0.0354,True
ps_zero: doc-2000 vs point-2000,0.5,primary,0.0693,0.2424,True
ps_zero: doc-2000 vs point-2000,0.2,sensitivity,0.0693,0.2424,False
ps_zero: doc-2000 vs point-2000,1.0,sensitivity,0.0693,0.2424,True
unsw_zero: doc-2000 vs point-2000,0.5,primary,-0.0854,0.0247,True
unsw_zero: doc-2000 vs point-2000,0.2,sensitivity,-0.0854,0.0247,True
unsw_zero: doc-2000 vs point-2000,1.0,sensitivity,-0.0854,0.0247,True
ton_zero: doc-2000 vs point-2000,0.5,primary,0.0005,0.037,True
ton_zero: doc-2000 vs point-2000,0.2,sensitivity,0.0005,0.037,True
ton_zero: doc-2000 vs point-2000,1.0,sensitivity,0.0005,0.037,True
ps_full: atc-512 vs naive-512,0.5,primary,-2.6839,-1.0466,False
ps_full: atc-512 vs naive-512,0.2,sensitivity,-2.6839,-1.0466,False
ps_full: atc-512 vs naive-512,1.0,sensitivity,-2.6839,-1.0466,False
unsw_full: atc-512 vs naive-512,0.5,primary,-0.2896,0.1219,True
unsw_full: atc-512 vs naive-512,0.2,sensitivity,-0.2896,0.1219,False
unsw_full: atc-512 vs naive-512,1.0,sensitivity,-0.2896,0.1219,True
ton_full: atc-512 vs naive-512,0.5,primary,0.2549,0.7367,False
ton_full: atc-512 vs naive-512,0.2,sensitivity,0.2549,0.7367,False
ton_full: atc-512 vs naive-512,1.0,sensitivity,0.2549,0.7367,True
ps_zero: atc-512 vs naive-512,0.5,primary,1.2534,2.0659,False
ps_zero: atc-512 vs naive-512,0.2,sensitivity,1.2534,2.0659,False
ps_zero: atc-512 vs naive-512,1.0,sensitivity,1.2534,2.0659,False
unsw_zero: atc-512 vs naive-512,0.5,primary,0.1562,0.3372,True
unsw_zero: atc-512 vs naive-512,0.2,sensitivity,0.1562,0.3372,False
unsw_zero: atc-512 vs naive-512,1.0,sensitivity,0.1562,0.3372,True
ton_zero: atc-512 vs naive-512,0.5,primary,0.0872,0.468,True
ton_zero: atc-512 vs naive-512,0.2,sensitivity,0.0872,0.468,False
ton_zero: atc-512 vs naive-512,1.0,sensitivity,0.0872,0.468,True
ps_full: doc-512 vs naive-512,0.5,primary,-4.9443,-2.3435,False
ps_full: doc-512 vs naive-512,0.2,sensitivity,-4.9443,-2.3435,False
ps_full: doc-512 vs naive-512,1.0,sensitivity,-4.9443,-2.3435,False
unsw_full: doc-512 vs naive-512,0.5,primary,-0.7167,-0.2589,False
unsw_full: doc-512 vs naive-512,0.2,sensitivity,-0.7167,-0.2589,False
unsw_full: doc-512 vs naive-512,1.0,sensitivity,-0.7167,-0.2589,True
ton_full: doc-512 vs naive-512,0.5,primary,0.5078,1.0646,False
ton_full: doc-512 vs naive-512,0.2,sensitivity,0.5078,1.0646,False
ton_full: doc-512 vs naive-512,1.0,sensitivity,0.5078,1.0646,False
ps_zero: doc-512 vs naive-512,0.5,primary,1.5388,2.3385,False
ps_zero: doc-512 vs naive-512,0.2,sensitivity,1.5388,2.3385,False
ps_zero: doc-512 vs naive-512,1.0,sensitivity,1.5388,2.3385,False
unsw_zero: doc-512 vs naive-512,0.5,primary,0.2878,0.5122,False
unsw_zero: doc-512 vs naive-512,0.2,sensitivity,0.2878,0.5122,False
unsw_zero: doc-512 vs naive-512,1.0,sensitivity,0.2878,0.5122,True
ton_zero: doc-512 vs naive-512,0.5,primary,0.2701,0.6484,False
ton_zero: doc-512 vs naive-512,0.2,sensitivity,0.2701,0.6484,False
ton_zero: doc-512 vs naive-512,1.0,sensitivity,0.2701,0.6484,True
ps_full: enscal-512 vs naive-512,0.5,primary,0.1732,0.8383,False
ps_full: enscal-512 vs naive-512,0.2,sensitivity,0.1732,0.8383,False
ps_full: enscal-512 vs naive-512,1.0,sensitivity,0.1732,0.8383,True
unsw_full: enscal-512 vs naive-512,0.5,primary,0.1977,0.3956,True
unsw_full: enscal-512 vs naive-512,0.2,sensitivity,0.1977,0.3956,False
unsw_full: enscal-512 vs naive-512,1.0,sensitivity,0.1977,0.3956,True
ton_full: enscal-512 vs naive-512,0.5,primary,0.5617,1.0662,False
ton_full: enscal-512 vs naive-512,0.2,sensitivity,0.5617,1.0662,False
ton_full: enscal-512 vs naive-512,1.0,sensitivity,0.5617,1.0662,False
ps_zero: enscal-512 vs naive-512,0.5,primary,2.5898,3.2797,False
ps_zero: enscal-512 vs naive-512,0.2,sensitivity,2.5898,3.2797,False
ps_zero: enscal-512 vs naive-512,1.0,sensitivity,2.5898,3.2797,False
unsw_zero: enscal-512 vs naive-512,0.5,primary,0.1432,0.2596,True
unsw_zero: enscal-512 vs naive-512,0.2,sensitivity,0.1432,0.2596,False
unsw_zero: enscal-512 vs naive-512,1.0,sensitivity,0.1432,0.2596,True
ton_zero: enscal-512 vs naive-512,0.5,primary,0.2266,0.4961,True
ton_zero: enscal-512 vs naive-512,0.2,sensitivity,0.2266,0.4961,False
ton_zero: enscal-512 vs naive-512,1.0,sensitivity,0.2266,0.4961,True
ps_full: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.3299,0.0513,True
ps_full: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.3299,0.0513,False
ps_full: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.3299,0.0513,True
unsw_full: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.3289,-0.0427,True
unsw_full: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.3289,-0.0427,False
unsw_full: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.3289,-0.0427,True
ton_full: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.8294,-0.1016,False
ton_full: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.8294,-0.1016,False
ton_full: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.8294,-0.1016,True
ps_zero: (point-naive)@2000 - (point-naive)@512,0.5,primary,-1.0516,-0.3896,False
ps_zero: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-1.0516,-0.3896,False
ps_zero: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-1.0516,-0.3896,False
unsw_zero: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.2182,-0.0372,True
unsw_zero: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.2182,-0.0372,False
unsw_zero: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.2182,-0.0372,True
ton_zero: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.2651,-0.0297,True
ton_zero: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.2651,-0.0297,False
ton_zero: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.2651,-0.0297,True
ps_full: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.4284,0.1669,True
ps_full: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.4284,0.1669,False
ps_full: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.4284,0.1669,True
unsw_full: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.3747,-0.0039,True
unsw_full: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.3747,-0.0039,False
unsw_full: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.3747,-0.0039,True
ton_full: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-1.3344,-0.2505,False
ton_full: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-1.3344,-0.2505,False
ton_full: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-1.3344,-0.2505,False
ps_zero: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-1.9151,-1.2458,False
ps_zero: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-1.9151,-1.2458,False
ps_zero: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-1.9151,-1.2458,False
unsw_zero: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.518,-0.3141,False
unsw_zero: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.518,-0.3141,False
unsw_zero: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.518,-0.3141,True
ton_zero: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.4393,-0.1818,True
ton_zero: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.4393,-0.1818,False
ton_zero: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.4393,-0.1818,True
ps_full: (atc-naive)@2000 - (atc-naive)@512,0.5,primary,0.2638,2.1409,False
ps_full: (atc-naive)@2000 - (atc-naive)@512,0.2,sensitivity,0.2638,2.1409,False
ps_full: (atc-naive)@2000 - (atc-naive)@512,1.0,sensitivity,0.2638,2.1409,False
unsw_full: (atc-naive)@2000 - (atc-naive)@512,0.5,primary,-0.3529,0.0797,True
unsw_full: (atc-naive)@2000 - (atc-naive)@512,0.2,sensitivity,-0.3529,0.0797,False
unsw_full: (atc-naive)@2000 - (atc-naive)@512,1.0,sensitivity,-0.3529,0.0797,True
ton_full: (atc-naive)@2000 - (atc-naive)@512,0.5,primary,-0.6307,-0.1495,False
ton_full: (atc-naive)@2000 - (atc-naive)@512,0.2,sensitivity,-0.6307,-0.1495,False
ton_full: (atc-naive)@2000 - (atc-naive)@512,1.0,sensitivity,-0.6307,-0.1495,True
ps_zero: (atc-naive)@2000 - (atc-naive)@512,0.5,primary,-1.7953,-0.9628,False
ps_zero: (atc-naive)@2000 - (atc-naive)@512,0.2,sensitivity,-1.7953,-0.9628,False
ps_zero: (atc-naive)@2000 - (atc-naive)@512,1.0,sensitivity,-1.7953,-0.9628,False
unsw_zero: (atc-naive)@2000 - (atc-naive)@512,0.5,primary,-0.3797,-0.1911,True
unsw_zero: (atc-naive)@2000 - (atc-naive)@512,0.2,sensitivity,-0.3797,-0.1911,False
unsw_zero: (atc-naive)@2000 - (atc-naive)@512,1.0,sensitivity,-0.3797,-0.1911,True
ton_zero: (atc-naive)@2000 - (atc-naive)@512,0.5,primary,-0.4763,-0.0857,True
ton_zero: (atc-naive)@2000 - (atc-naive)@512,0.2,sensitivity,-0.4763,-0.0857,False
ton_zero: (atc-naive)@2000 - (atc-naive)@512,1.0,sensitivity,-0.4763,-0.0857,True
ps_full: (doc-naive)@2000 - (doc-naive)@512,0.5,primary,0.1708,1.9708,False
ps_full: (doc-naive)@2000 - (doc-naive)@512,0.2,sensitivity,0.1708,1.9708,False
ps_full: (doc-naive)@2000 - (doc-naive)@512,1.0,sensitivity,0.1708,1.9708,False
unsw_full: (doc-naive)@2000 - (doc-naive)@512,0.5,primary,-0.3497,0.1451,True
unsw_full: (doc-naive)@2000 - (doc-naive)@512,0.2,sensitivity,-0.3497,0.1451,False
unsw_full: (doc-naive)@2000 - (doc-naive)@512,1.0,sensitivity,-0.3497,0.1451,True
ton_full: (doc-naive)@2000 - (doc-naive)@512,0.5,primary,-0.9193,-0.2104,False
ton_full: (doc-naive)@2000 - (doc-naive)@512,0.2,sensitivity,-0.9193,-0.2104,False
ton_full: (doc-naive)@2000 - (doc-naive)@512,1.0,sensitivity,-0.9193,-0.2104,True
ps_zero: (doc-naive)@2000 - (doc-naive)@512,0.5,primary,-1.9182,-1.1643,False
ps_zero: (doc-naive)@2000 - (doc-naive)@512,0.2,sensitivity,-1.9182,-1.1643,False
ps_zero: (doc-naive)@2000 - (doc-naive)@512,1.0,sensitivity,-1.9182,-1.1643,False
unsw_zero: (doc-naive)@2000 - (doc-naive)@512,0.5,primary,-0.5302,-0.3039,False
unsw_zero: (doc-naive)@2000 - (doc-naive)@512,0.2,sensitivity,-0.5302,-0.3039,False
unsw_zero: (doc-naive)@2000 - (doc-naive)@512,1.0,sensitivity,-0.5302,-0.3039,True
ton_zero: (doc-naive)@2000 - (doc-naive)@512,0.5,primary,-0.6242,-0.2424,False
ton_zero: (doc-naive)@2000 - (doc-naive)@512,0.2,sensitivity,-0.6242,-0.2424,False
ton_zero: (doc-naive)@2000 - (doc-naive)@512,1.0,sensitivity,-0.6242,-0.2424,True
ps_full: (enscal-naive)@2000 - (enscal-naive)@512,0.5,primary,-0.8732,-0.3076,False
ps_full: (enscal-naive)@2000 - (enscal-naive)@512,0.2,sensitivity,-0.8732,-0.3076,False
ps_full: (enscal-naive)@2000 - (enscal-naive)@512,1.0,sensitivity,-0.8732,-0.3076,True
unsw_full: (enscal-naive)@2000 - (enscal-naive)@512,0.5,primary,-0.813,-0.6247,False
unsw_full: (enscal-naive)@2000 - (enscal-naive)@512,0.2,sensitivity,-0.813,-0.6247,False
unsw_full: (enscal-naive)@2000 - (enscal-naive)@512,1.0,sensitivity,-0.813,-0.6247,True
ton_full: (enscal-naive)@2000 - (enscal-naive)@512,0.5,primary,-1.3734,-0.6943,False
ton_full: (enscal-naive)@2000 - (enscal-naive)@512,0.2,sensitivity,-1.3734,-0.6943,False
ton_full: (enscal-naive)@2000 - (enscal-naive)@512,1.0,sensitivity,-1.3734,-0.6943,False
ps_zero: (enscal-naive)@2000 - (enscal-naive)@512,0.5,primary,-1.7883,-1.1667,False
ps_zero: (enscal-naive)@2000 - (enscal-naive)@512,0.2,sensitivity,-1.7883,-1.1667,False
ps_zero: (enscal-naive)@2000 - (enscal-naive)@512,1.0,sensitivity,-1.7883,-1.1667,False
unsw_zero: (enscal-naive)@2000 - (enscal-naive)@512,0.5,primary,-0.2177,-0.082,True
unsw_zero: (enscal-naive)@2000 - (enscal-naive)@512,0.2,sensitivity,-0.2177,-0.082,False
unsw_zero: (enscal-naive)@2000 - (enscal-naive)@512,1.0,sensitivity,-0.2177,-0.082,True
ton_zero: (enscal-naive)@2000 - (enscal-naive)@512,0.5,primary,-0.4688,-0.2102,True
ton_zero: (enscal-naive)@2000 - (enscal-naive)@512,0.2,sensitivity,-0.4688,-0.2102,False
ton_zero: (enscal-naive)@2000 - (enscal-naive)@512,1.0,sensitivity,-0.4688,-0.2102,True
