dataset,model,condition,seed,n_per_block,inc_is_m1,ba_incumbent,ba_challenger,gap_rand,gap_m2_minus_m1
portscan,svc_rbf,independent,2081,2000,True,97.925,98.075,0.15,0.15
portscan,svc_rbf,own_transformer,2081,2000,True,98.075,98.075,0.0,0.0
portscan,svc_rbf,independent,2082,2000,False,97.475,97.375,-0.1,0.1
portscan,svc_rbf,own_transformer,2082,2000,False,97.4,97.425,0.025,-0.025
portscan,svc_rbf,independent,2083,2000,True,97.15,97.525,0.375,0.375
portscan,svc_rbf,own_transformer,2083,2000,True,97.075,97.525,0.45,0.45
portscan,svc_rbf,independent,2084,2000,False,97.325,97.3,-0.025,0.025
portscan,svc_rbf,own_transformer,2084,2000,False,97.25,97.35,0.1,-0.1
portscan,svc_rbf,independent,2085,2000,True,98.025,97.85,-0.175,-0.175
portscan,svc_rbf,own_transformer,2085,2000,True,97.7,97.75,0.05,0.05
portscan,svc_rbf,independent,2086,2000,False,97.925,98.0,0.075,-0.075
portscan,svc_rbf,own_transformer,2086,2000,False,97.975,98.0,0.025,-0.025
portscan,svc_rbf,independent,2087,2000,False,97.675,50.3,-47.375,47.375
portscan,svc_rbf,own_transformer,2087,2000,False,97.65,97.375,-0.275,0.275
portscan,svc_rbf,independent,2088,2000,True,97.85,95.9,-1.95,-1.95
portscan,svc_rbf,own_transformer,2088,2000,True,97.925,97.875,-0.05,-0.05
portscan,svc_rbf,independent,2089,2000,False,97.25,97.05,-0.2,0.2
portscan,svc_rbf,own_transformer,2089,2000,False,97.85,97.725,-0.125,0.125
portscan,svc_rbf,independent,2090,2000,False,97.8,97.775,-0.025,0.025
portscan,svc_rbf,own_transformer,2090,2000,False,98.15,97.725,-0.425,0.425
portscan,svc_rbf,independent,2091,2000,False,96.85,97.575,0.725,-0.725
portscan,svc_rbf,own_transformer,2091,2000,False,97.35,97.225,-0.125,0.125
portscan,svc_rbf,independent,2092,2000,True,97.4,97.4,0.0,0.0
portscan,svc_rbf,own_transformer,2092,2000,True,97.675,97.475,-0.2,-0.2
portscan,svc_rbf,independent,2093,2000,False,97.8,97.775,-0.025,0.025
portscan,svc_rbf,own_transformer,2093,2000,False,97.875,97.95,0.075,-0.075
portscan,svc_rbf,independent,2094,2000,True,97.6,51.125,-46.475,-46.475
portscan,svc_rbf,own_transformer,2094,2000,True,97.375,97.45,0.075,0.075
portscan,svc_rbf,independent,2095,2000,False,97.825,97.85,0.025,-0.025
portscan,svc_rbf,own_transformer,2095,2000,False,97.8,97.775,-0.025,0.025
portscan,svc_rbf,independent,2096,2000,True,98.05,98.15,0.1,0.1
portscan,svc_rbf,own_transformer,2096,2000,True,98.175,98.05,-0.125,-0.125
portscan,svc_rbf,independent,2097,2000,False,97.675,97.675,0.0,0.0
portscan,svc_rbf,own_transformer,2097,2000,False,97.925,97.675,-0.25,0.25
portscan,svc_rbf,independent,2098,2000,False,97.775,50.0,-47.775,47.775
portscan,svc_rbf,own_transformer,2098,2000,False,97.8,95.3,-2.5,2.5
portscan,svc_rbf,independent,2099,2000,False,98.075,98.0,-0.075,0.075
portscan,svc_rbf,own_transformer,2099,2000,False,98.075,98.125,0.05,-0.05
portscan,svc_rbf,independent,2100,2000,False,97.35,95.9,-1.45,1.45
portscan,svc_rbf,own_transformer,2100,2000,False,97.525,97.05,-0.475,0.475
unsw_recon,svc_rbf,independent,2001,2000,True,88.475,88.6,0.125,0.125
unsw_recon,svc_rbf,own_transformer,2001,2000,True,88.75,89.25,0.5,0.5
unsw_recon,svc_rbf,independent,2002,2000,False,88.45,87.975,-0.475,0.475
unsw_recon,svc_rbf,own_transformer,2002,2000,False,88.025,88.075,0.05,-0.05
unsw_recon,svc_rbf,independent,2003,2000,True,88.775,88.975,0.2,0.2
unsw_recon,svc_rbf,own_transformer,2003,2000,True,88.8,89.075,0.275,0.275
unsw_recon,svc_rbf,independent,2004,2000,False,88.575,88.475,-0.1,0.1
unsw_recon,svc_rbf,own_transformer,2004,2000,False,88.525,88.6,0.075,-0.075
unsw_recon,svc_rbf,independent,2005,2000,True,88.825,88.7,-0.125,-0.125
unsw_recon,svc_rbf,own_transformer,2005,2000,True,88.925,89.05,0.125,0.125
unsw_recon,svc_rbf,independent,2006,2000,False,89.025,88.725,-0.3,0.3
unsw_recon,svc_rbf,own_transformer,2006,2000,False,89.275,89.0,-0.275,0.275
unsw_recon,svc_rbf,independent,2007,2000,False,88.1,88.225,0.125,-0.125
unsw_recon,svc_rbf,own_transformer,2007,2000,False,88.275,87.95,-0.325,0.325
unsw_recon,svc_rbf,independent,2008,2000,True,88.5,88.05,-0.45,-0.45
unsw_recon,svc_rbf,own_transformer,2008,2000,True,88.8,88.05,-0.75,-0.75
unsw_recon,svc_rbf,independent,2009,2000,True,89.325,89.475,0.15,0.15
unsw_recon,svc_rbf,own_transformer,2009,2000,True,89.45,89.475,0.025,0.025
unsw_recon,svc_rbf,independent,2010,2000,True,89.3,89.2,-0.1,-0.1
unsw_recon,svc_rbf,own_transformer,2010,2000,True,89.25,88.95,-0.3,-0.3
unsw_recon,svc_rbf,independent,2011,2000,False,88.8,88.725,-0.075,0.075
unsw_recon,svc_rbf,own_transformer,2011,2000,False,88.85,88.6,-0.25,0.25
unsw_recon,svc_rbf,independent,2012,2000,True,89.375,89.825,0.45,0.45
unsw_recon,svc_rbf,own_transformer,2012,2000,True,89.5,90.025,0.525,0.525
unsw_recon,svc_rbf,independent,2013,2000,True,88.525,88.575,0.05,0.05
unsw_recon,svc_rbf,own_transformer,2013,2000,True,88.875,88.475,-0.4,-0.4
unsw_recon,svc_rbf,independent,2014,2000,True,89.6,89.35,-0.25,-0.25
unsw_recon,svc_rbf,own_transformer,2014,2000,True,89.975,89.45,-0.525,-0.525
unsw_recon,svc_rbf,independent,2015,2000,False,89.2,88.575,-0.625,0.625
unsw_recon,svc_rbf,own_transformer,2015,2000,False,89.15,88.5,-0.65,0.65
unsw_recon,svc_rbf,independent,2016,2000,True,88.775,88.95,0.175,0.175
unsw_recon,svc_rbf,own_transformer,2016,2000,True,88.85,89.125,0.275,0.275
unsw_recon,svc_rbf,independent,2017,2000,True,89.15,89.25,0.1,0.1
unsw_recon,svc_rbf,own_transformer,2017,2000,True,89.525,89.75,0.225,0.225
unsw_recon,svc_rbf,independent,2018,2000,False,89.15,88.9,-0.25,0.25
unsw_recon,svc_rbf,own_transformer,2018,2000,False,88.925,88.8,-0.125,0.125
unsw_recon,svc_rbf,independent,2019,2000,True,89.05,89.1,0.05,0.05
unsw_recon,svc_rbf,own_transformer,2019,2000,True,89.175,89.25,0.075,0.075
unsw_recon,svc_rbf,independent,2020,2000,True,89.425,89.125,-0.3,-0.3
unsw_recon,svc_rbf,own_transformer,2020,2000,True,89.2,89.275,0.075,0.075
unsw_recon,svc_rbf,independent,2021,2000,False,89.0,89.475,0.475,-0.475
unsw_recon,svc_rbf,own_transformer,2021,2000,False,89.05,89.525,0.475,-0.475
unsw_recon,svc_rbf,independent,2022,2000,False,88.975,88.75,-0.225,0.225
unsw_recon,svc_rbf,own_transformer,2022,2000,False,88.9,88.85,-0.05,0.05
unsw_recon,svc_rbf,independent,2023,2000,False,89.3,89.225,-0.075,0.075
unsw_recon,svc_rbf,own_transformer,2023,2000,False,89.525,89.425,-0.1,0.1
unsw_recon,svc_rbf,independent,2024,2000,True,88.275,88.475,0.2,0.2
unsw_recon,svc_rbf,own_transformer,2024,2000,True,88.65,88.475,-0.175,-0.175
unsw_recon,svc_rbf,independent,2025,2000,True,89.1,88.825,-0.275,-0.275
unsw_recon,svc_rbf,own_transformer,2025,2000,True,88.925,88.7,-0.225,-0.225
unsw_recon,svc_rbf,independent,2026,2000,False,87.925,88.025,0.1,-0.1
unsw_recon,svc_rbf,own_transformer,2026,2000,False,88.375,88.375,0.0,0.0
unsw_recon,svc_rbf,independent,2027,2000,True,88.125,88.275,0.15,0.15
unsw_recon,svc_rbf,own_transformer,2027,2000,True,88.3,88.425,0.125,0.125
unsw_recon,svc_rbf,independent,2028,2000,True,88.4,88.85,0.45,0.45
unsw_recon,svc_rbf,own_transformer,2028,2000,True,88.65,88.75,0.1,0.1
unsw_recon,svc_rbf,independent,2029,2000,True,89.025,88.95,-0.075,-0.075
unsw_recon,svc_rbf,own_transformer,2029,2000,True,88.875,88.875,-0.0,-0.0
unsw_recon,svc_rbf,independent,2030,2000,True,89.075,88.9,-0.175,-0.175
unsw_recon,svc_rbf,own_transformer,2030,2000,True,89.075,89.175,0.1,0.1
unsw_recon,svc_rbf,independent,2031,2000,False,88.075,88.55,0.475,-0.475
unsw_recon,svc_rbf,own_transformer,2031,2000,False,88.625,88.525,-0.1,0.1
unsw_recon,svc_rbf,independent,2032,2000,True,88.975,89.325,0.35,0.35
unsw_recon,svc_rbf,own_transformer,2032,2000,True,89.275,89.25,-0.025,-0.025
unsw_recon,svc_rbf,independent,2033,2000,True,88.9,89.15,0.25,0.25
unsw_recon,svc_rbf,own_transformer,2033,2000,True,89.175,89.425,0.25,0.25
unsw_recon,svc_rbf,independent,2034,2000,False,89.2,89.725,0.525,-0.525
unsw_recon,svc_rbf,own_transformer,2034,2000,False,89.3,89.6,0.3,-0.3
